 ----  |                      Name                       |  $$$$  | ANdiv | divY%  |        Sector         |                            industry                            
 CBFV  | CB Financial Services, Inc.                     | 24.140 | 0.960 |  3.823 | Finance               | Major Banks
 MSBI  | Midland States Bancorp, Inc.                    | 26.190 | 0.970 |  3.816 | Finance               | Major Banks
 FITB  | Fifth Third Bancorp                             | 28.210 | 0.960 |  3.807 | Finance               | Major Banks
 GLBZ  | Glen Burnie Bancorp                             | 10.750 | 0.400 |  3.806 | Finance               | Major Banks
 FCBP  | First Choice Bancorp                            | 22.100 | 0.800 |  3.795 | Finance               | Major Banks
 FFBC  | First Financial Bancorp.                        | 24.050 | 0.880 |  3.785 | Finance               | Major Banks
 CATY  | Cathay General Bancorp                          | 35.260 | 1.240 |  3.761 | Finance               | Major Banks
 MINI  | Mobile Mini, Inc.                               | 32.590 | 1.100 |  3.754 | Capital Goods         | Metal Fabrications
 GBLI  | Global Indemnity Limited                        | 27.850 | 1.000 |  3.702 | Finance               | Property-Casualty Insurers
 IBCP  | Independent Bank Corporation                    | 20.860 | 0.720 |  3.696 | Finance               | Major Banks
 WSBC  | WesBanco, Inc.                                  | 35.130 | 1.240 |  3.675 | Finance               | Major Banks
 ATLO  | Ames National Corporation                       | 26.770 | 0.960 |  3.673 | Finance               | Major Banks
 SASR  | Sandy Spring Bancorp, Inc.                      | 35.660 | 1.200 |  3.643 | Finance               | Major Banks
 STLD  | Steel Dynamics, Inc.                            | 29.650 | 0.960 |  3.620 | Basic Industries      | Steel/Iron Ore
 HCSG  | Healthcare Services Group, Inc.                 | 23.790 | 0.790 |  3.612 | Health Care           | Hospital/Nursing Management
 TRST  | TrustCo Bank Corp NY                            |  7.880 | 0.273 |  3.567 | Finance               | Major Banks
 CVBF  | CVB Financial Corporation                       | 21.040 | 0.720 |  3.564 | Finance               | Major Banks
 LARK  | Landmark Bancorp Inc.                           | 23.800 | 0.800 |  3.506 | Finance               | Major Banks
 FISI  | Financial Institutions, Inc.                    | 29.880 | 1.000 |  3.475 | Finance               | Major Banks
 BKSC  | Bank of South Carolina Corp.                    | 19.000 | 0.640 |  3.460 | Finance               | Major Banks
 FRAF  | Franklin Financial Services Corporation         | 36.190 | 1.200 |  3.458 | Finance               | Major Banks
 EMCF  | Emclaire Financial Corp                         | 35.951 | 1.160 |  3.450 | Finance               | Major Banks
 MFNC  | Mackinac Financial Corporation                  | 15.220 | 0.480 |  3.419 | Finance               | Major Banks
 BUSE  | First Busey Corporation                         | 26.050 | 0.840 |  3.416 | Finance               | Major Banks
 ADTN  | ADTRAN, Inc.                                    | 10.780 | 0.360 |  3.399 | Public Utilities      | Telecommunications Equipment
 BFIN  | BankFinancial Corporation                       | 12.850 | 0.400 |  3.399 | Finance               | Savings Institutions
 DAKT  | Daktronics, Inc.                                |  6.220 | 0.200 |  3.390 | Consumer Durables     | Miscellaneous manufacturing industries
 LBAI  | Lakeland Bancorp, Inc.                          | 15.760 | 0.500 |  3.372 | Finance               | Major Banks
 BDGE  | Bridge Bancorp, Inc.                            | 28.220 | 0.920 |  3.365 | Finance               | Major Banks
 NRIM  | Northrim BanCorp Inc                            | 35.760 | 1.200 |  3.360 | Finance               | Savings Institutions
 MBWM  | Mercantile Bank Corporation                     | 32.390 | 1.040 |  3.352 | Finance               | Major Banks
 FULT  | Fulton Financial Corporation                    | 16.380 | 0.520 |  3.344 | Finance               | Major Banks
 UCFC  | United Community Financial Corp.                |  9.790 | 0.320 |  3.333 | Finance               | Banks
 MTEX  | Mannatech, Incorporated                         | 16.100 | 0.500 |  3.331 | Consumer Durables     | Specialty Chemicals
 COLB  | Columbia Banking System, Inc.                   | 35.670 | 1.120 |  3.325 | Finance               | Major Banks
 SCHN  | Schnitzer Steel Industries, Inc.                | 25.640 | 0.750 |  3.298 | Consumer Durables     | Industrial Specialties
 FIBK  | First Interstate BancSystem, Inc.               | 39.350 | 1.240 |  3.288 | Finance               | Major Banks
 AROW  | Arrow Financial Corporation                     | 32.900 | 1.040 |  3.270 | Finance               | Major Banks
