Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,32.46,0.4,1.2225,05/07/2019,05/22/2019,
AAME,Atlantic American Corporation,2.39,0.02,0.8437,04/09/2019,04/24/2019,
AAON,AAON Inc.,49.71,0.32,0.6495,05/31/2019,07/01/2019,
AAPL,Apple Inc.,204.23,3.08,1.5068,05/10/2019,05/16/2019,
AAXJ,iShares Trust,69.88,0.822308,1.1672,06/17/2019,06/21/2019,
ABCB,Ameris Bancorp,39.36,0.4,1.0246,06/27/2019,07/10/2019,
ABDC,Alcentra Capital Corp.,8.39,0.72,15.8273,06/27/2019,07/03/2019,
ACNB,ACNB Corporation,38.1,1,2.6281,05/30/2019,06/14/2019,
ACWI,iShares Trust,74.59,1.812514,2.4186,06/17/2019,06/21/2019,
ACWX,iShares Trust,47.05,1.57141,3.318,06/17/2019,06/21/2019,
ADES,Advanced Emissions Solutions Inc.,13,1,7.6394,05/17/2019,06/07/2019,
ADI,Analog Devices Inc.,112.86,2.16,1.9086,05/30/2019,06/11/2019,
ADP,Automatic Data Processing Inc.,164.84,3.16,1.9258,06/13/2019,07/01/2019,
ADRA,Invesco BLDRS Index Funds Trust,31.16,0.91512,2.9237,06/24/2019,07/31/2019,
ADRD,Invesco BLDRS Index Funds Trust,21.82,1.08988,4.9718,06/24/2019,07/31/2019,
ADRE,Invesco BLDRS Index Funds Trust,40.4303,0.82624,2.0386,06/24/2019,07/31/2019,
ADRU,Invesco BLDRS Index Funds Trust,21.34,1.06912,5.0006,06/24/2019,07/31/2019,
ADTN,ADTRAN Inc.,15.36,0.36,2.3422,05/01/2019,05/16/2019,
AFIN,American Finance Trust Inc.,11.25,1.1,9.7865,06/07/2019,06/17/2019,
AGNC,AGNC Investment Corp.,17,1.92,11.3879,06/27/2019,07/10/2019,
AGND,WisdomTree Trust,41.84,1.224,2.9417,06/24/2019,06/28/2019,
AGZD,WisdomTree Trust,47.875,1.38,2.8905,06/24/2019,06/28/2019,
AIA,iShares Trust,60.96,0.836816,1.3582,06/17/2019,06/21/2019,
AIMC,Altra Industrial Motion Corp.,34.25,0.68,1.963,06/17/2019,07/02/2019,
AIQ,Global X Funds,16.623,0.108784,0.6557,06/27/2019,07/08/2019,
ALCO,Alico Inc.,30.29,0.24,0.7813,06/27/2019,07/12/2019,
ALGT,Allegiant Travel Company,144.73,2.8,1.9556,06/13/2019,06/27/2019,
ALOT,AstroNova Inc.,25.95,0.28,1.0769,06/14/2019,06/24/2019,
ALTY,Global X Funds,15.015,1.1652,7.7784,07/03/2019,07/12/2019,
AMAL,Amalgamated Bank,17.82,0.24,1.3559,05/15/2019,05/31/2019,
AMAT,Applied Materials Inc.,43.98,0.84,1.8805,05/22/2019,06/13/2019,
AMCA,iShares Trust,28.63,0.57014,1.9879,06/17/2019,06/21/2019,
AMGN,Amgen Inc.,185.94,5.8,3.0756,05/16/2019,06/07/2019,
AMNB,American National Bankshares Inc.,37.87,1,2.6695,06/06/2019,06/21/2019,
AMOT,Allied Motion Technologies Inc.,37.4,0.12,0.3143,05/15/2019,05/29/2019,
AMRB,American River Bankshares,12.3,0.2,1.6287,04/30/2019,05/15/2019,
AMSF,AMERISAFE Inc.,64.38,1,1.5593,06/06/2019,06/21/2019,
AMSWA,American Software Inc.,13.38,0.44,3.2762,05/09/2019,05/24/2019,
AMTD,TD Ameritrade Holding Corporation,51.23,1.2,2.3866,05/06/2019,05/21/2019,
ANAT,American National Insurance Company,124.02,3.28,2.6824,06/06/2019,06/21/2019,
ANDE,The Andersons Inc.,27.27,0.68,2.5129,06/28/2019,07/22/2019,
APOG,Apogee Enterprises Inc.,43.26,0.7,1.6287,05/15/2019,05/31/2019,
