Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
ARCB,ArcBest Corporation,27.24,0.32,1.1658,05/13/2019,05/28/2019,
ARKR,Ark Restaurants Corp.,20.2,1,4.9037,06/20/2019,07/08/2019,
ARLP,Alliance Resource Partners L.P.,17.69,2.14,12.1453,05/07/2019,05/15/2019,
AROW,Arrow Financial Corporation,34.45,1.04,3.076,06/03/2019,06/14/2019,
ARTNA,Artesian Resources Corporation,36.71,0.9836,2.6933,05/09/2019,05/23/2019,
ASET,FlexShares Trust,29.84,0.925864,3.0913,06/27/2019,07/03/2019,
ASRV,AmeriServ Financial Inc.,4.1001,0.1,2.4331,05/03/2019,05/20/2019,
ASTE,Astec Industries Inc.,31.54,0.44,1.3986,05/13/2019,05/30/2019,
ATLO,Ames National Corporation,27.1,0.96,3.5848,04/30/2019,05/15/2019,
ATNI,ATN International Inc.,59.9,0.68,1.1411,06/27/2019,07/08/2019,
ATRI,Atrion Corporation,817.65,5.4,0.6558,06/13/2019,06/28/2019,
AUB,Atlantic Union Bankshares Corporation,35.4,0.92,2.6256,05/16/2019,05/31/2019,
AUBN,Auburn National Bancorporation Inc.,33.38,1,3.0817,06/07/2019,06/25/2019,
AVGO,Broadcom Inc.,282.66,10.6,3.7207,06/21/2019,07/02/2019,
AVT,Avnet Inc.,44.76,0.8,1.7734,06/04/2019,06/19/2019,
BANF,BancFirst Corporation,56.67,1.2,2.1425,06/27/2019,07/15/2019,
BANR,Banner Corporation,55.28,1.64,2.9971,04/08/2019,04/18/2019,
BANX,StoneCastle Financial Corp,21.65,1.52,6.9597,06/19/2019,06/26/2019,
BBBY,Bed Bath & Beyond Inc.,11.47,0.68,6.1041,06/13/2019,07/16/2019,
BBGI,Beasley Broadcast Group Inc.,3.11,0.2,6.3492,06/27/2019,07/05/2019,
BBSI,Barrett Business Services Inc.,81.63,1,1.235,05/16/2019,05/31/2019,
BCBP,BCB Bancorp Inc. (NJ),13.02,0.56,4.3784,05/09/2019,05/24/2019,
BCTF,Bancorp 34 Inc.,15.7,0.2,1.2739,06/03/2019,06/18/2019,
BDGE,Bridge Bancorp Inc.,29.39,0.92,3.1944,04/17/2019,04/26/2019,
BELFA,Bel Fuse Inc.,15.2657,0.24,1.6271,04/12/2019,05/01/2019,
BELFB,Bel Fuse Inc.,16.5,0.28,1.6539,04/12/2019,05/01/2019,
BFC,Bank First Corporation,69.78,0.8,1.1419,06/21/2019,07/08/2019,
BFIN,BankFinancial Corporation,14.09,0.4,2.8715,05/07/2019,05/24/2019,
BFIT,Global X Funds,19.8482,0.152062,0.7637,06/27/2019,07/08/2019,
BFST,Business First Bancshares Inc.,25.76,0.4,1.5625,05/14/2019,05/31/2019,
BGCP,BGC Partners Inc.,5.47,0.56,10.3704,05/23/2019,06/10/2019,
BGFV,Big 5 Sporting Goods Corporation,1.99,0.2,9.9502,05/30/2019,06/14/2019,
BGRN,iShares Trust,54.4688,1.17492,2.1542,07/01/2019,07/08/2019,
BICK,First Trust Exchange-Traded Fund II,27.022,0.008,0.0298,06/14/2019,06/28/2019,
BIS,ProShares Trust,16.94,0.385224,2.3361,06/25/2019,07/02/2019,
BJRI,BJ's Restaurants Inc.,44.68,0.48,1.0997,05/10/2019,05/27/2019,
BKCC,BlackRock Capital Investment Corporation,6.12,0.72,11.8227,06/17/2019,07/09/2019,
BKEP,Blueknight Energy Partners L.P. L.L.C.,1.3331,0.16,12.9032,05/02/2019,05/14/2019,
BKSC,Bank of South Carolina Corp.,19.3224,0.64,3.3561,04/05/2019,04/30/2019,
BLCN,Reality Shares ETF Trust,23.6407,0.888,3.7516,06/25/2019,06/28/2019,
BLKB,Blackbaud Inc.,84.16,0.48,0.5737,05/24/2019,06/14/2019,
BLMN,Bloomin' Brands Inc.,18.15,0.4,2.2099,05/10/2019,05/24/2019,
BMLP,Bank Of Montreal,47.38,3.477348,7.3393,06/27/2019,07/09/2019,
BMRC,Bank of Marin Bancorp,42.62,0.76,1.8048,05/02/2019,05/10/2019,
BMTC,Bryn Mawr Bank Corporation,38.06,1,2.6674,04/30/2019,06/01/2019,
BND,Vanguard Bond Index Funds,82.79,2.333568,2.8054,07/01/2019,07/05/2019,
BNDW,Vanguard Scottsdale Funds,78.83,1.428,1.8062,07/01/2019,07/05/2019,
BNDX,Vanguard Charlotte Funds,57.56,0.654,1.1348,07/01/2019,07/05/2019,
BOCH,Bank of Commerce Holdings (CA),10.76,0.2,1.8762,07/01/2019,07/12/2019,
BOKF,BOK Financial Corporation,77.08,2,2.6385,05/10/2019,05/28/2019,
BOOM,DMC Global Inc.,60.12,0.08,0.1321,06/27/2019,07/16/2019,
BOTJ,Bank of the James Financial Group Inc.,14.76,0.24,1.626,06/06/2019,06/21/2019,
BOTZ,Global X Funds,20.77,0.301624,1.4295,06/27/2019,07/08/2019,
BPFH,Boston Private Financial Holdings Inc.,12.18,0.48,3.9506,05/02/2019,05/17/2019,
BPOP,Popular Inc.,56.04,1.2,2.1688,05/24/2019,07/01/2019,
BPR,Brookfield Property REIT Inc.,19.31,1.32,6.8643,05/30/2019,06/28/2019,
BPRN,The Bank of Princeton,29.47,0.12,0.4098,05/09/2019,05/31/2019,
BRKL,Brookline Bancorp Inc.,15.39,0.44,2.9024,05/09/2019,05/24/2019,
BRKR,Bruker Corporation,50.98,0.16,0.3144,05/31/2019,06/21/2019,
BRKS,Brooks Automation Inc.,39.56,0.4,1.0101,06/06/2019,06/28/2019,
BRY,Berry Petroleum Corporation,10.42,0.48,4.7431,06/13/2019,07/15/2019,
BSET,Bassett Furniture Industries Incorporated,13.01,0.5,3.7879,05/16/2019,05/31/2019,
BSRR,Sierra Bancorp,27.07,0.72,2.7037,05/01/2019,05/16/2019,
BUSE,First Busey Corporation,26.78,0.84,3.1674,04/17/2019,04/26/2019,
BWFG,Bankwell Financial Group Inc.,28.95,0.52,1.8012,05/13/2019,05/24/2019,
CAC,Camden National Corporation,45.3,1.2,2.684,04/12/2019,04/30/2019,
CAKE,The Cheesecake Factory Incorporated,44.01,1.32,3.0478,05/15/2019,05/29/2019,
CALM,Cal-Maine Foods Inc.,42.85,1.088,2.5332,04/30/2019,05/16/2019,
CARO,Carolina Financial Corporation,35.56,0.36,1.0265,06/13/2019,07/05/2019,
CARZ,First Trust Exchange-Traded Fund II,33.27,1.8796,5.6749,06/14/2019,06/28/2019,
CASH,Meta Financial Group Inc.,28.18,0.2,0.7313,06/07/2019,07/01/2019,
CASS,Cass Information Systems Inc,48.05,1.04,2.1803,06/03/2019,06/14/2019,
CASY,Caseys General Stores Inc.,159,1.16,0.7361,04/30/2019,05/15/2019,
CATC,Cambridge Bancorp,81.49,2.04,2.5725,05/01/2019,05/16/2019,
CATH,Global X Funds,36.5,0.498264,1.3651,06/27/2019,07/08/2019,
CATY,Cathay General Bancorp,36.32,1.24,3.454,05/31/2019,06/13/2019,
CBAN,Colony Bankcorp Inc.,16.94,0.3,1.7668,04/29/2019,05/15/2019,
CBFV,CB Financial Services Inc.,24.76,0.96,3.7647,06/07/2019,06/20/2019,
CBRL,Cracker Barrel Old Country Store Inc.,172.95,5.2,2.8903,07/18/2019,,
CBSH,Commerce Bancshares Inc.,60.65,1.04,1.7388,06/06/2019,06/24/2019,
CBTX,CBTX Inc.,28.91,0.4,1.3986,06/28/2019,07/15/2019,
CCBG,Capital City Bank Group,24.92,0.44,1.7821,06/07/2019,06/24/2019,
CCD,Calamos Dynamic Convertible & Income Fund,20.48,2.004,9.7093,06/13/2019,06/20/2019,
CCLP,CSI Compressco LP,3.59,0.04,1.1268,04/30/2019,05/15/2019,
CCMP,Cabot Microelectronics Corporation,110.03,1.68,1.522,06/24/2019,07/30/2019,
CCNE,CNB Financial Corporation,27.64,0.68,2.4899,05/30/2019,06/14/2019,
CCOI,Cogent Communications Holdings Inc.,61.66,2.4,3.9402,05/16/2019,05/31/2019,
CDC,Victory Portfolios II,46.26,1.918452,4.1426,06/13/2019,06/17/2019,
CDK,CDK Global Inc.,51.18,0.6,1.1637,05/31/2019,06/27/2019,
CDL,Victory Portfolios II,47.75,1.919508,4.0149,06/13/2019,06/17/2019,
CDW,CDW Corporation,113.79,1.18,1.0393,05/23/2019,06/11/2019,
CERN,Cerner Corporation,74.5,0.72,0.9661,06/17/2019,07/26/2019,
CEY,Victory Portfolios II,24.5,1.69176,6.8612,06/13/2019,06/17/2019,
CEZ,Victory Portfolios II,25.9805,1.04526,3.9911,06/13/2019,06/17/2019,
CFA,Victory Portfolios II,53.24,1.010868,1.8973,06/13/2019,06/17/2019,
CFFI,C&F Financial Corporation,53.95,1.48,2.8086,06/13/2019,07/01/2019,
CFFN,Capitol Federal Financial Inc.,13.82,0.34,2.4927,05/02/2019,05/17/2019,
CFO,Victory Portfolios II,49.55,0.954804,1.9238,06/13/2019,06/17/2019,
CG,The Carlyle Group L.P.,23.66,0.76,3.2095,05/10/2019,05/21/2019,
CGBD,TCG BDC Inc.,15.29,1.48,11.7417,06/27/2019,07/17/2019,
CGNX,Cognex Corporation,44.44,0.2,0.4366,05/16/2019,05/31/2019,
CGO,Calamos Global Total Return Fund,13.17,1.2,9.1047,06/13/2019,06/20/2019,
CHCO,City Holding Company,77.26,2.12,2.7796,04/12/2019,04/30/2019,
CHFC,Chemical Financial Corporation,42.2,1.36,3.2763,06/06/2019,06/21/2019,
CHI,Calamos Convertible Opportunities and Income Fund,10.7,0.96,9.0056,06/13/2019,06/20/2019,
CHMG,Chemung Financial Corp,49,1.04,2.139,06/14/2019,07/01/2019,
CHRW,C.H. Robinson Worldwide Inc.,84.9,2,2.3518,06/06/2019,06/28/2019,
CHW,Calamos Global Dynamic Income Fund,8.23,0.84,10.2439,06/13/2019,06/20/2019,
CHY,Calamos Convertible and High Income Fund,11.23,1.02,9.1398,06/13/2019,06/20/2019,
CIBR,First Trust Exchange-Traded Fund II,29.4,0.0736,0.2505,06/14/2019,06/28/2019,
CID,Victory Portfolios II,32.75,4.51812,13.6998,06/13/2019,06/17/2019,
CIL,Victory Portfolios II,38.2524,2.352636,6.1044,06/13/2019,06/17/2019,
CINF,Cincinnati Financial Corporation,107.83,2.24,2.0816,06/18/2019,07/15/2019,
CIVB,Civista Bancshares Inc. ,22.15,0.44,1.9982,04/22/2019,05/01/2019,
CIZ,Victory Portfolios II,32.16,1.971696,6.0855,06/13/2019,06/17/2019,
CIZN,Citizens Holding Company,20.514,0.96,4.6852,06/13/2019,06/28/2019,
CLAR,Clarus Corporation,14.52,0.1,0.6882,05/02/2019,05/17/2019,
CLCT,Collectors Universe Inc.,22.5,0.7,3.1631,05/16/2019,05/31/2019,
CLDB,Cortland Bancorp,23.05,0.44,1.8814,05/10/2019,06/03/2019,
CLRG,IndexIQ ETF Trust,25.07,0.42068,1.678,06/24/2019,06/28/2019,
CMCO,Columbus McKinnon Corporation,41.5,0.24,0.5718,05/02/2019,05/13/2019,
CMCSA,Comcast Corporation,43.28,0.84,1.9391,07/02/2019,07/24/2019,
CMCT,CIM Commercial Trust Corporation,20.48,0.5,2.4307,06/13/2019,06/27/2019,
CME,CME Group Inc.,202.81,3,1.4876,06/07/2019,06/25/2019,
CMFN,CM Finance Inc,7.36,1,13.5135,06/13/2019,07/05/2019,
CMTL,Comtech Telecommunications Corp.,27.99,0.4,1.405,04/16/2019,05/17/2019,
CNBKA,Century Bancorp Inc.,90.48,0.48,0.5381,04/30/2019,05/15/2019,
CNMD,CONMED Corporation,87.4,0.8,0.9257,06/13/2019,07/05/2019,
CNOB,ConnectOne Bancorp Inc.,22.63,0.36,1.61,04/12/2019,05/01/2019,
CNSL,Consolidated Communications Holdings Inc.,5.38,1.54952,30.3827,04/12/2019,05/01/2019,
COHU,Cohu Inc.,15.29,0.24,1.5385,06/13/2019,07/26/2019,
COKE,Coca-Cola Consolidated Inc.,318.4,1,0.3175,04/25/2019,05/10/2019,
COLB,Columbia Banking System Inc.,36.7,1.12,4.6499,05/07/2019,05/22/2019,
COLM,Columbia Sportswear Company,100.72,0.96,0.9463,05/15/2019,05/30/2019,
CONE,CyrusOne Inc,60.08,1.84,3.0836,06/27/2019,07/12/2019,
CORE,Core-Mark Holding Company Inc.,40.81,0.44,1.0956,05/22/2019,06/14/2019,
COST,Costco Wholesale Corporation,268.25,2.6,0.966,05/09/2019,05/24/2019,
CPHC,Canterbury Park Holding Corporation,12.4264,0.28,2.2533,06/27/2019,07/15/2019,
CPLP,Capital Product Partners L.P.,10.4,1.26,12.1622,05/10/2019,05/15/2019,
CPSI,Computer Programs and Systems Inc.,27.45,0.4,1.4914,05/15/2019,05/31/2019,
CPTA,Capitala Finance Corp.,9.66,0.9996,10.5666,06/19/2019,06/27/2019,
CRAI,CRA InternationalInc.,38.63,0.8,2.1047,05/24/2019,06/14/2019,
CRUSC,Calvert Management Series,99.98,0.2448,0.2448,07/01/2019,07/05/2019,
CRWS,Crown Crafts Inc.,4.456,0.32,7.033,06/13/2019,07/05/2019,
CSA,Victory Portfolios II,45.835,0.96936,2.1124,06/13/2019,06/17/2019,
CSB,Victory Portfolios II,44.4006,1.665708,3.7575,06/13/2019,06/17/2019,
CSCO,Cisco Systems Inc.,56.6,1.4,2.4788,07/03/2019,07/24/2019,
CSF,Victory Portfolios II,37.9224,0.760728,2.0136,06/13/2019,06/17/2019,
CSFL,CenterState Bank Corporation,23.51,0.44,1.9097,06/13/2019,06/28/2019,
CSGS,CSG Systems International Inc.,49.22,0.89,1.8053,06/03/2019,06/19/2019,
CSML,IndexIQ ETF Trust,25.07,0.42628,1.7085,06/24/2019,06/28/2019,
CSPI,CSP Inc.,14.9299,0.6,4.0175,05/30/2019,06/14/2019,
CSQ,Calamos Strategic Total Return Fund,12.92,0.99,7.612,06/13/2019,06/20/2019,
CSTR,CapStar Financial Holdings Inc.,15.25,0.2,1.3245,05/09/2019,05/24/2019,
CSWC,Capital Southwest Corporation,21.07,1.52,9.1822,03/14/2019,03/29/2019,
CSWI,CSW Industrials Inc.,68.06,0.54,0.7871,05/07/2019,06/12/2019,
CSX,CSX Corporation,78.4,0.96,1.2201,05/30/2019,06/14/2019,
CTBI,Community Trust Bancorp Inc.,42.32,1.44,3.4376,06/13/2019,07/01/2019,
CTRE,CareTrust REIT Inc.,24.25,0.9,3.681,06/27/2019,07/15/2019,
CTRN,Citi Trends Inc.,15.16,0.32,2.1636,06/03/2019,06/18/2019,
CTSH,Cognizant Technology Solutions Corporation,64.71,0.8,1.2465,05/21/2019,05/31/2019,
CTWS,Connecticut Water Service Inc.,69.88,1.31,1.8784,05/31/2019,06/17/2019,
CTXS,Citrix Systems Inc.,99.83,1.4,1.4044,06/06/2019,06/21/2019,
CVBF,CVB Financial Corporation,21.11,0.72,3.4368,07/02/2019,07/18/2019,
CVCY,Central Valley Community Bancorp,21.1,0.44,2.1033,05/02/2019,05/17/2019,
CVLY,Codorus Valley Bancorp Inc,22.93,0.64,2.8319,04/22/2019,05/14/2019,
CWBC,Community West Bancshares,9.87,0.22,2.229,05/09/2019,05/31/2019,
CXSE,WisdomTree Trust,74.51,1.42,1.8798,06/24/2019,06/28/2019,
CY,Cypress Semiconductor Corporation,22.31,0.44,1.9696,06/26/2019,07/18/2019,
CZNC,Citizens & Northern Corp,26.15,1.08,4.157,04/26/2019,05/10/2019,
DAKT,Daktronics Inc.,6.54,0.2,3.125,06/07/2019,06/20/2019,
DALI,First Trust Exchange-Traded Fund VI,20.75,0.01,0.0482,06/14/2019,06/28/2019,
DAX,Global X Funds,26.74,1.3822,5.0947,06/27/2019,07/08/2019,
DCOM,Dime Community Bancshares Inc.,19.15,0.56,2.9724,05/07/2019,05/15/2019,
DDIV,First Trust Exchange-Traded Fund VI,25.4501,0.944,3.7005,06/14/2019,06/28/2019,
DGICA,Donegal Group Inc.,14.86,0.58,3.8564,04/30/2019,05/15/2019,
DGICB,Donegal Group Inc.,14.5,0.51,3.5172,04/30/2019,05/15/2019,
DGRE,WisdomTree Trust,24.65,0.82,3.3017,06/24/2019,06/28/2019,
DGRS,WisdomTree Trust,35.668,1.2,3.3749,06/24/2019,06/28/2019,
DGRW,WisdomTree Trust,44.32,0.96,2.1614,06/24/2019,06/28/2019,
DMLP,Dorchester Minerals L.P.,18.4,1.92926,10.8568,04/26/2019,05/09/2019,
DNBF,DNB Financial Corp,45.16,0.28,0.6236,06/04/2019,06/18/2019,
DNKN,Dunkin' Brands Group Inc.,81.56,1.5,1.8302,05/31/2019,06/12/2019,
DRIV,Global X Funds,13.39,0.22406,1.6696,06/27/2019,07/08/2019,
DSWL,Deswell Industries Inc.,2.58,0.14,5,06/24/2019,07/12/2019,
DVLU,First Trust Exchange-Traded Fund VI,18.577,0.314,1.6882,06/14/2019,06/28/2019,
DVOL,First Trust Exchange-Traded Fund VI,21.9499,0.3276,1.4891,06/14/2019,06/28/2019,
DVY,iShares Trust,100.71,3.529184,3.5074,06/17/2019,06/21/2019,
DWFI,SPDR Series Trust,23.365,0.922536,3.9374,07/01/2019,07/08/2019,
DWIN,Invesco Exchange-Traded Fund Trust II,25.48,1.2636,4.9594,06/24/2019,06/28/2019,
DWPP,First Trust Exchange-Traded Fund,31.4561,0.3184,1.0108,06/14/2019,06/28/2019,
DWTR,Invesco Exchange-Traded Fund Trust II,32.16,0.1778,0.5565,06/24/2019,06/28/2019,
DXGE,WisdomTree Trust,29.96,3.24,10.809,06/24/2019,06/28/2019,
DXJS,WisdomTree Trust,38.85,1.73936,4.4864,06/24/2019,06/28/2019,
EBAY,eBay Inc.,39.8,0.56,1.4035,05/30/2019,06/20/2019,
EBIX,Ebix Inc.,51.43,0.3,0.5881,05/30/2019,06/14/2019,
EBMT,Eagle Bancorp Montana Inc.,16.31,0.37,2.2411,05/16/2019,06/07/2019,
EBSB,Meridian Bancorp Inc.,19,0.28,1.4981,06/17/2019,07/02/2019,
EBTC,Enterprise Bancorp Inc,31.29,0.64,2.0559,05/10/2019,06/03/2019,
ECOL,US Ecology Inc.,61.08,0.72,1.2156,04/17/2019,04/26/2019,
ECOW,Pacer Funds,25.04,1.397428,5.5808,06/25/2019,06/27/2019,
EEI,Ecology and Environment Inc.,11.0627,0.4,3.6496,03/19/2019,03/27/2019,
EEMA,iShares Inc.,66.09,0.614722,0.9226,06/17/2019,06/21/2019,
EFAS,Global X Funds,15.9642,0.93,5.8016,07/03/2019,07/12/2019,
EFSC,Enterprise Financial Services Corporation,41.69,0.6,1.4528,06/13/2019,06/28/2019,
EGBN,Eagle Bancorp Inc.,55.12,0.88,1.6227,05/30/2019,06/14/2019,
EGOV,NIC Inc.,16.47,0.32,1.9477,06/10/2019,06/25/2019,
EMB,iShares Trust,113.35,5.254392,4.6115,07/01/2019,07/08/2019,
EMCB,WisdomTree Trust,72.88,3.18,4.3354,06/24/2019,06/28/2019,
EMCF,Emclaire Financial Corp,32.3475,1.16,3.6593,05/31/2019,06/21/2019,
EMCG,WisdomTree Trust,22.66,0.46,2.024,06/24/2019,06/28/2019,
EMCI,EMC Insurance Group Inc.,36.01,0.92,2.5527,06/03/2019,06/11/2019,
EMIF,iShares Trust,29.25,0.828412,2.8438,06/17/2019,06/21/2019,
EML,Eastern Company (The),27.68,0.44,1.6541,05/14/2019,06/14/2019,
EMXC,iShares Inc.,49.76,0.478292,0.9581,06/17/2019,06/21/2019,
ENSG,The Ensign Group Inc.,57.8,0.19,0.3285,06/27/2019,07/31/2019,
ENTG,Entegris Inc.,36.26,0.28,0.765,04/30/2019,05/22/2019,
ENZL,iShares Trust,53.54,1.519112,2.8173,06/17/2019,06/21/2019,
EQIX,Equinix Inc.,518.18,9.84,1.8961,05/21/2019,06/19/2019,
EQRR,ProShares Trust,41.13,0.730108,1.7688,06/25/2019,07/02/2019,
ERIE,Erie Indemnity Company,265.03,3.6,1.3649,04/05/2019,04/23/2019,
ESBK,Elmira Savings Bank NY (The),15.59,0.92,5.7321,06/04/2019,06/12/2019,
ESCA,Escalade Incorporated,11.39,0.5,4.3937,05/31/2019,06/10/2019,
ESGD,iShares Trust,64.71,2.343902,3.5905,06/17/2019,06/21/2019,
ESGE,iShares Inc.,34.07,0.520806,1.5171,06/17/2019,06/21/2019,
ESGG,FlexShares Trust,100.28,3.076608,3.057,06/21/2019,06/27/2019,
ESGU,iShares Trust,65.63,1.177196,1.791,06/17/2019,06/21/2019,
ESSA,ESSA Bancorp Inc.,15.25,0.4,2.649,06/13/2019,06/28/2019,
ESXB,Community Bankers Trust Corporation.,8.13,0.12,1.4925,06/20/2019,07/01/2019,
ETFC,E*TRADE Financial Corporation,46.15,0.56,1.23,05/10/2019,05/20/2019,
EUFN,iShares Trust,18.53,1.410358,7.6236,06/17/2019,06/21/2019,
EVFTC,Eaton Vance NextShares Trust II,100.03,0.4404,0.4403,07/01/2019,07/05/2019,
EVGBC,Eaton Vance NextShares Trust,99.99,0.3216,0.3216,07/01/2019,07/05/2019,
EVLMC,Eaton Vance NextShares Trust II,100.04,0.222,0.2219,07/01/2019,07/05/2019,
EWBC,East West Bancorp Inc.,47.14,1.1,2.3534,04/30/2019,05/15/2019,
EWJE,iShares Trust,33.19,0.912016,2.7479,06/17/2019,06/21/2019,
EWJV,iShares Trust,24.6239,0.91015,3.7424,06/17/2019,06/21/2019,
EWZS,iShares Trust,17.66,0.452294,2.6684,06/17/2019,06/21/2019,
EXPD,Expeditors International of Washington Inc.,75.37,1,1.325,05/31/2019,06/17/2019,
EXPE,Expedia Group Inc.,135.12,1.28,0.949,05/22/2019,06/13/2019,
EXPO,Exponent Inc.,58.75,0.64,1.0778,06/06/2019,06/21/2019,
FAB,First Trust Exchange-Traded AlphaDEX Fund,54.34,0.8,1.4779,06/14/2019,06/28/2019,
FAD,First Trust Exchange-Traded AlphaDEX Fund,76.01,0.12,0.1579,06/14/2019,06/28/2019,
FALN,iShares Trust,26.59,1.452276,5.4352,07/01/2019,07/08/2019,
FAST,Fastenal Company,32.09,0.86,2.6658,04/23/2019,05/22/2019,
FBIZ,First Business Financial Services Inc.,24.83,0.6,2.437,05/03/2019,05/16/2019,
FBMS,The First Bancshares Inc.,30.75,0.32,1.041,05/09/2019,05/24/2019,
FBNC,First Bancorp,36.71,0.48,1.3154,06/27/2019,07/25/2019,
FBSS,Fauquier Bankshares Inc.,21.12,0.48,2.2727,06/13/2019,07/01/2019,
FBZ,First Trust Exchange-Traded AlphDEX Fund II,16.52,0.5796,3.6637,06/14/2019,06/28/2019,
FCA,First Trust Exchange-Traded AlphDEX Fund II,26.24,1.6552,6.1863,06/14/2019,06/28/2019,
FCAL,First Trust Exchange-Traded Fund III,52.26,1.5,2.8555,06/14/2019,06/28/2019,
FCAN,First Trust Exchange-Traded AlphDEX Fund II,23.7403,0.3088,1.3033,06/14/2019,06/28/2019,
FCAP,First Capital Inc.,51.96,0.96,1.8486,06/13/2019,06/28/2019,
FCBC,First Community Bankshares Inc.,33.31,1,3.0525,05/02/2019,05/17/2019,
FCBP,First Choice Bancorp,22.58,0.8,3.5477,05/08/2019,05/23/2019,
FCCO,First Community Corporation,19.89,0.44,2.328,04/29/2019,05/15/2019,
FCCY,1st Constitution Bancorp (NJ),18.24,0.3,1.6515,05/10/2019,05/24/2019,
FCEF,First Trust Exchange-Traded Fund VIII,22.2214,1.17,5.3037,06/11/2019,06/28/2019,
FCFS,FirstCash Inc.,102.2,1,0.9783,05/14/2019,05/31/2019,
FCNCA,First Citizens BancShares Inc.,458.78,1.6,0.353,06/14/2019,07/01/2019,
FCVT,First Trust Exchange-Traded Fund IV,31.66,0.48,1.5159,06/14/2019,06/28/2019,
FDBC,Fidelity D & D Bancorp Inc.,67,1.04,1.5758,05/17/2019,06/10/2019,
FDEF,First Defiance Financial Corp.,28.45,0.76,2.6789,05/16/2019,05/24/2019,
FDIV,First Trust Exchange-Traded Fund IV,50.79,2.04,4.0222,06/14/2019,06/28/2019,
FDNI,First Trust Exchange-Traded Fund II,22.1999,0.044,0.1974,06/14/2019,06/28/2019,
