Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,29.45,0.4,1.3405,05/07/2019,05/22/2019,
AAME,Atlantic American Corporation,2.35,0.02,0.8511,04/09/2019,04/24/2019,
AAON,AAON Inc.,46.6,0.32,0.617,05/31/2019,07/01/2019,
AAPL,Apple Inc.,204.02,3.08,1.4777,05/10/2019,05/16/2019,
AAXJ,iShares Trust,65.65,0.822308,1.2373,06/17/2019,06/21/2019,
ABCB,Ameris Bancorp,38.17,0.4,1.0368,06/27/2019,07/10/2019,
ABDC,Alcentra Capital Corp.,8.34,0.72,15.8084,06/27/2019,07/03/2019,
ACNB,ACNB Corporation,37.24,1,2.6795,05/30/2019,06/14/2019,
ACWI,iShares Trust,72.51,1.812514,2.4775,06/17/2019,06/21/2019,
ACWX,iShares Trust,45.21,1.57141,3.4499,06/17/2019,06/21/2019,
ADES,Advanced Emissions Solutions Inc.,12.67,1,7.9681,05/17/2019,06/07/2019,
ADI,Analog Devices Inc.,112.68,2.16,1.8871,05/30/2019,06/11/2019,
ADP,Automatic Data Processing Inc.,164.27,3.16,1.9233,06/13/2019,07/01/2019,
ADRA,Invesco BLDRS Index Funds Trust,30.32,0.91512,3.0182,06/24/2019,07/31/2019,
ADRD,Invesco BLDRS Index Funds Trust,20.84,1.08988,5.1825,06/24/2019,07/31/2019,
ADRE,Invesco BLDRS Index Funds Trust,38.11,0.82624,2.1422,06/24/2019,07/31/2019,
ADRU,Invesco BLDRS Index Funds Trust,20.35,1.06912,5.2114,06/24/2019,07/31/2019,
ADTN,ADTRAN Inc.,10.78,0.36,3.2877,07/31/2019,08/15/2019,
AFIN,American Finance Trust Inc.,11.82,1.1,9.3141,07/10/2019,07/15/2019,
AGNC,AGNC Investment Corp.,17.19,1.92,11.2346,07/30/2019,08/09/2019,
AGND,WisdomTree Trust,41.473,1.26,3.0405,07/23/2019,07/26/2019,
AGZD,WisdomTree Trust,47.77,1.38,2.8854,07/23/2019,07/26/2019,
AIA,iShares Trust,57.89,0.836816,1.4295,06/17/2019,06/21/2019,
AIMC,Altra Industrial Motion Corp.,26.38,0.68,2.4972,06/17/2019,07/02/2019,
AIQ,Global X Funds,16.1225,0.108784,0.6585,06/27/2019,07/08/2019,
ALCO,Alico Inc.,32.03,0.24,0.7509,06/27/2019,07/12/2019,
ALGT,Allegiant Travel Company,147.65,2.8,1.8902,06/13/2019,06/27/2019,
ALOT,AstroNova Inc.,23.3,0.28,1.1657,06/14/2019,06/24/2019,
ALTY,Global X Funds,15,1.1652,7.6911,07/03/2019,07/12/2019,
AMAL,Amalgamated Bank,16.62,0.24,1.406,05/15/2019,05/31/2019,
AMAT,Applied Materials Inc.,47.55,0.84,1.733,05/22/2019,06/13/2019,
AMCA,iShares Trust,28.16,0.57014,2.0033,06/17/2019,06/21/2019,
AMGN,Amgen Inc.,187.22,5.8,3.1183,05/16/2019,06/07/2019,
AMNB,American National Bankshares Inc.,35.61,1,2.7617,06/06/2019,06/21/2019,
AMOT,Allied Motion Technologies Inc.,40.57,0.12,0.3004,05/15/2019,05/29/2019,
AMRB,American River Bankshares,13.38,0.28,2.1489,07/30/2019,08/14/2019,
AMSF,AMERISAFE Inc.,65.51,1,1.5263,06/06/2019,06/21/2019,
AMSWA,American Software Inc.,13.61,0.44,3.252,05/09/2019,05/24/2019,
AMTD,TD Ameritrade Holding Corporation,49.45,1.2,2.4155,05/06/2019,05/21/2019,
ANAT,American National Insurance Company,118.4,3.28,2.7556,06/06/2019,06/21/2019,
ANDE,The Andersons Inc.,25.69,0.68,2.5806,06/28/2019,07/22/2019,
APOG,Apogee Enterprises Inc.,39.01,0.7,1.7766,07/15/2019,07/31/2019,
ARCB,ArcBest Corporation,28.7,0.32,1.0997,05/13/2019,05/28/2019,
ARKR,Ark Restaurants Corp.,20.07,1,5.1948,06/20/2019,07/08/2019,
ARLP,Alliance Resource Partners L.P.,17.15,2.14,12.3485,05/07/2019,05/15/2019,
AROW,Arrow Financial Corporation,32.9,1.04,3.163,06/03/2019,06/14/2019,
ARTNA,Artesian Resources Corporation,35.64,0.9836,2.7699,05/09/2019,05/23/2019,
ASET,FlexShares Trust,29.09,0.925864,3.1806,06/27/2019,07/03/2019,
ASRV,AmeriServ Financial Inc.,4.14,0.1,2.439,08/02/2019,08/19/2019,
ASTE,Astec Industries Inc.,31.13,0.44,1.4085,05/13/2019,05/30/2019,
ATLO,Ames National Corporation,26.77,0.96,3.5874,07/31/2019,08/15/2019,
ATNI,ATN International Inc.,55.06,0.68,1.2436,06/27/2019,07/08/2019,
ATRI,Atrion Corporation,770.4,5.4,0.7013,06/13/2019,06/28/2019,
AUB,Atlantic Union Bankshares Corporation,36.6,1,2.7108,08/01/2019,08/16/2019,
AUBN,Auburn National Bancorporation Inc.,39.9,1,2.5253,06/07/2019,06/25/2019,
AVGO,Broadcom Inc.,278.53,10.6,3.7149,06/21/2019,07/02/2019,
AVT,Avnet Inc.,43.42,0.8,1.7861,06/04/2019,06/19/2019,
BANF,BancFirst Corporation,56.53,1.2,2.1104,06/27/2019,07/15/2019,
BANR,Banner Corporation,56.76,1.64,2.8671,07/08/2019,07/18/2019,
BANX,StoneCastle Financial Corp,21.6,1.52,7.0158,06/19/2019,06/26/2019,
BBBY,Bed Bath & Beyond Inc.,9.2,0.68,7.5556,06/13/2019,07/16/2019,
BBGI,Beasley Broadcast Group Inc.,3.15,0.2,6.2305,06/27/2019,07/05/2019,
BBSI,Barrett Business Services Inc.,87.5,1,1.1279,05/16/2019,05/31/2019,
BCBP,BCB Bancorp Inc. (NJ),12.4,0.56,4.4409,05/09/2019,05/24/2019,
BCTF,Bancorp 34 Inc.,15.51,0.2,1.3098,06/03/2019,06/18/2019,
BDGE,Bridge Bancorp Inc.,28.22,0.92,3.2451,07/19/2019,07/29/2019,
BELFA,Bel Fuse Inc.,10.964,0.24,1.9355,07/12/2019,08/01/2019,
BELFB,Bel Fuse Inc.,11.42,0.28,2.0741,07/12/2019,08/01/2019,
BFC,Bank First Corporation,55.94,0.8,1.4639,06/21/2019,07/08/2019,
BFIN,BankFinancial Corporation,12.85,0.4,3.0465,05/07/2019,05/24/2019,
BFIT,Global X Funds,19.2,0.152062,0.7759,06/27/2019,07/08/2019,
BFST,Business First Bancshares Inc.,24.25,0.4,1.6071,05/14/2019,05/31/2019,
BGCP,BGC Partners Inc.,5.23,0.56,10.6262,05/23/2019,06/10/2019,
BGFV,Big 5 Sporting Goods Corporation,2.28,0.2,9.5694,05/30/2019,06/14/2019,
BGRN,iShares Trust,55.0588,1.378284,2.5033,08/01/2019,08/07/2019,
BICK,First Trust Exchange-Traded Fund II,25.61,0.008,0.0308,06/14/2019,06/28/2019,
BIS,ProShares Trust,18.3,0.385224,2.1557,06/25/2019,07/02/2019,
BJRI,BJ's Restaurants Inc.,38.61,0.48,1.2075,05/10/2019,05/27/2019,
BKCC,BlackRock Capital Investment Corporation,5.62,0.72,12.9264,06/17/2019,07/09/2019,
BKEP,Blueknight Energy Partners L.P. L.L.C.,1.26,0.16,13.0081,08/01/2019,08/14/2019,
BKSC,Bank of South Carolina Corp.,19,0.64,3.4133,07/08/2019,07/31/2019,
BLCN,Reality Shares ETF Trust,23.05,0.888,3.7876,06/25/2019,06/28/2019,
BLKB,Blackbaud Inc.,88.48,0.48,0.5327,05/24/2019,06/14/2019,
BLMN,Bloomin' Brands Inc.,17.22,0.4,2.3324,05/10/2019,05/24/2019,
BMLP,Bank Of Montreal,49.21,3.477348,7.0663,06/27/2019,07/09/2019,
BMRC,Bank of Marin Bancorp,41.63,0.84,1.9872,08/01/2019,08/09/2019,
BMTC,Bryn Mawr Bank Corporation,35.29,1.04,2.9002,07/31/2019,09/01/2019,
BND,Vanguard Bond Index Funds,83.48,2.320956,2.7829,08/01/2019,08/06/2019,
BNDW,Vanguard Scottsdale Funds,79.51,1.4856,1.8701,08/01/2019,08/06/2019,
BNDX,Vanguard Charlotte Funds,58.17,0.648,1.1163,08/01/2019,08/06/2019,
BOCH,Bank of Commerce Holdings (CA),10.44,0.2,1.8957,07/01/2019,07/12/2019,
BOKF,BOK Financial Corporation,78.7,2,2.4991,05/10/2019,05/28/2019,
BOOM,DMC Global Inc.,48.61,0.08,0.1608,06/27/2019,07/16/2019,
BOTJ,Bank of the James Financial Group Inc.,15.11,0.24,1.5894,06/06/2019,06/21/2019,
BOTZ,Global X Funds,18.9,0.301624,1.5653,06/27/2019,07/08/2019,
BPFH,Boston Private Financial Holdings Inc.,10.64,0.48,4.4077,05/02/2019,05/17/2019,
BPOP,Popular Inc.,54.64,1.2,2.1544,05/24/2019,07/01/2019,
