Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AMAL,Amalgamated Bank,16.05,0.24,1.4861,08/14/2019,08/30/2019,
AMAT,Applied Materials Inc.,48.02,0.84,1.7755,08/21/2019,09/12/2019,
AMCA,iShares Trust,28.3,0.57014,2.0153,06/17/2019,06/21/2019,
AMGN,Amgen Inc.,208.62,5.8,2.8022,08/14/2019,09/06/2019,
AMNB,American National Bankshares Inc.,34.2,1,2.9146,06/06/2019,06/21/2019,
AMOT,Allied Motion Technologies Inc.,32.21,0.12,0.3742,08/14/2019,08/28/2019,
AMRB,American River Bankshares,13.401,0.28,2.1116,07/30/2019,08/14/2019,
AMSF,AMERISAFE Inc.,68.7,1,1.4592,06/06/2019,06/21/2019,
AMSWA,American Software Inc.,15.76,0.44,2.889,08/15/2019,08/30/2019,
AMTD,TD Ameritrade Holding Corporation,44.41,1.2,2.7354,08/05/2019,08/20/2019,
ANAT,American National Insurance Company,114.07,3.28,2.8965,06/06/2019,06/21/2019,
ANDE,The Andersons Inc.,22.92,0.68,2.9604,06/28/2019,07/22/2019,
APOG,Apogee Enterprises Inc.,36.93,0.7,1.9042,07/15/2019,07/31/2019,
ARCB,ArcBest Corporation,29.61,0.32,1.0866,08/08/2019,08/23/2019,
ARKR,Ark Restaurants Corp.,20.1492,1,4.9383,06/20/2019,07/08/2019,
ARLP,Alliance Resource Partners L.P.,15.47,2.16,14.1639,08/06/2019,08/14/2019,
AROW,Arrow Financial Corporation,32.16,1.04,3.2228,06/03/2019,06/14/2019,
ARTNA,Artesian Resources Corporation,36.4,0.9836,2.7262,08/08/2019,08/23/2019,
ASET,FlexShares Trust,29.38,0.925864,3.1556,06/27/2019,07/03/2019,
ASRV,AmeriServ Financial Inc.,4.15,0.1,2.3866,08/02/2019,08/19/2019,
ASTE,Astec Industries Inc.,27.6,0.44,1.5759,08/09/2019,08/29/2019,
ATLO,Ames National Corporation,26.47,0.96,3.5036,07/31/2019,08/15/2019,
ATNI,ATN International Inc.,56.82,0.68,1.1874,06/27/2019,07/08/2019,
ATRI,Atrion Corporation,777.15,5.4,0.6986,06/13/2019,06/28/2019,
AUB,Atlantic Union Bankshares Corporation,36.11,1,2.7241,08/01/2019,08/16/2019,
AUBN,Auburn National Bancorporation Inc.,40.0359,1,2.4978,06/07/2019,06/25/2019,
AVGO,Broadcom Inc.,282.64,10.6,3.7407,06/21/2019,07/02/2019,
AVT,Avnet Inc.,41.89,0.8,1.9212,06/04/2019,06/19/2019,
BANF,BancFirst Corporation,53.77,1.2,2.2409,06/27/2019,07/15/2019,
BANR,Banner Corporation,53.91,1.64,3.0529,07/08/2019,07/18/2019,
BANX,StoneCastle Financial Corp,21.8817,1.52,7.0079,06/19/2019,06/26/2019,
BBBY,Bed Bath & Beyond Inc.,9.67,0.68,7.173,06/13/2019,07/16/2019,
BBGI,Beasley Broadcast Group Inc.,3.05,0.2,6.4725,06/27/2019,07/05/2019,
BBSI,Barrett Business Services Inc.,87.13,1.2,1.365,08/22/2019,09/06/2019,
BCBP,BCB Bancorp Inc. (NJ),12.36,0.56,4.4908,08/08/2019,08/23/2019,
BCTF,Bancorp 34 Inc.,14.79,0.2,1.3046,06/03/2019,06/18/2019,
BDGE,Bridge Bancorp Inc.,26.91,0.92,3.4239,07/19/2019,07/29/2019,
BELFA,Bel Fuse Inc.,10.0701,0.24,2.3486,07/12/2019,08/01/2019,
BELFB,Bel Fuse Inc.,11,0.28,2.509,07/12/2019,08/01/2019,
BFC,Bank First Corporation,54.43,0.8,1.4485,06/21/2019,07/08/2019,
BFIN,BankFinancial Corporation,11.66,0.4,3.3642,08/06/2019,08/23/2019,
BFIT,Global X Funds,19.2928,0.152062,0.8003,06/27/2019,07/08/2019,
BFST,Business First Bancshares Inc.,23.62,0.4,1.6949,08/14/2019,08/31/2019,
BGCP,BGC Partners Inc.,5.1,0.56,11.0672,08/13/2019,08/28/2019,
BGFV,Big 5 Sporting Goods Corporation,1.79,0.2,10.6952,08/29/2019,09/13/2019,
BGRN,iShares Trust,56.12,1.378284,2.4563,08/01/2019,08/07/2019,
BICK,First Trust Exchange-Traded Fund II,25.2032,0.008,0.032,06/14/2019,06/28/2019,
BIS,ProShares Trust,18.87,0.385224,2.0722,06/25/2019,07/02/2019,
BJRI,BJ's Restaurants Inc.,36.44,0.48,1.29,08/09/2019,08/26/2019,
BKCC,BlackRock Capital Investment Corporation,5.23,0.72,13.8462,06/17/2019,07/09/2019,
BKEP,Blueknight Energy Partners L.P. L.L.C.,1.25,0.16,12.9408,08/01/2019,08/14/2019,
BKSC,Bank of South Carolina Corp.,18.55,0.64,3.4501,07/08/2019,07/31/2019,
BLCN,Reality Shares ETF Trust,22.73,0.888,3.9067,06/25/2019,06/28/2019,
BLKB,Blackbaud Inc.,90.97,0.48,0.531,08/27/2019,09/13/2019,
BLMN,Bloomin' Brands Inc.,18.04,0.4,2.3866,08/09/2019,08/21/2019,
BMLP,Bank Of Montreal,47.81,3.477348,7.2916,06/27/2019,07/09/2019,
BMRC,Bank of Marin Bancorp,40.61,0.84,2.0823,08/01/2019,08/09/2019,
BMTC,Bryn Mawr Bank Corporation,34.1,1.04,3.0338,07/31/2019,09/01/2019,
BND,Vanguard Bond Index Funds,85.1,2.320956,2.727,08/01/2019,08/06/2019,
BNDW,Vanguard Scottsdale Funds,81.03,1.4856,1.8325,08/01/2019,08/06/2019,
BNDX,Vanguard Charlotte Funds,59.13,0.648,1.0953,08/01/2019,08/06/2019,
BOCH,Bank of Commerce Holdings (CA),10,0.2,1.9861,07/01/2019,07/12/2019,
BOKF,BOK Financial Corporation,76.14,2,2.6319,08/09/2019,08/27/2019,
BOOM,DMC Global Inc.,43.43,0.08,0.1792,06/27/2019,07/16/2019,
BOTJ,Bank of the James Financial Group Inc.,14.4218,0.24,1.6725,06/06/2019,06/21/2019,
BOTZ,Global X Funds,18.8,0.301624,1.6216,06/27/2019,07/08/2019,
BPFH,Boston Private Financial Holdings Inc.,10.62,0.48,4.5498,08/08/2019,08/23/2019,
BPOP,Popular Inc.,52.57,1.2,2.2931,05/24/2019,07/01/2019,
BPR,Brookfield Property REIT Inc.,18.82,1.32,6.9657,08/29/2019,09/30/2019,
BPRN,The Bank of Princeton,26.7,0.12,0.4554,08/08/2019,08/30/2019,
BRKL,Brookline Bancorp Inc.,14.04,0.44,3.1384,08/08/2019,08/23/2019,
BRKR,Bruker Corporation,43.17,0.16,0.3716,08/30/2019,09/20/2019,
BRKS,Brooks Automation Inc.,33.33,0.4,1.2195,06/06/2019,06/28/2019,
BRY,Berry Petroleum Corporation,7.99,0.48,5.8394,06/13/2019,07/15/2019,
BSET,Bassett Furniture Industries Incorporated,12.18,0.5,4.1254,08/15/2019,08/30/2019,
BSRR,Sierra Bancorp,24.64,0.76,3.0645,07/31/2019,08/15/2019,
BUSE,First Busey Corporation,24.5,0.84,3.4008,07/18/2019,07/26/2019,
BWFG,Bankwell Financial Group Inc.,26.31,0.52,1.9734,08/15/2019,08/26/2019,
CAC,Camden National Corporation,41.46,1.2,2.8853,07/12/2019,07/31/2019,
CAKE,The Cheesecake Factory Incorporated,37.99,1.44,3.7915,08/13/2019,08/27/2019,
CARO,Carolina Financial Corporation,34.15,0.36,1.057,06/13/2019,07/05/2019,
CARZ,First Trust Exchange-Traded Fund II,30.6853,1.8796,6.1445,06/14/2019,06/28/2019,
CASH,Meta Financial Group Inc.,30.91,0.2,0.6396,06/07/2019,07/01/2019,
CASS,Cass Information Systems Inc,50.6,1.04,2.0623,08/30/2019,09/13/2019,
CASY,Caseys General Stores Inc.,167.85,1.28,0.7455,07/31/2019,08/15/2019,
CATC,Cambridge Bancorp,73.94,2.04,2.7605,07/31/2019,08/15/2019,
CATH,Global X Funds,35.86,0.498264,1.393,06/27/2019,07/08/2019,
CATY,Cathay General Bancorp,33.19,1.24,3.7148,08/30/2019,09/13/2019,
CBAN,Colony Bankcorp Inc.,15.96,0.3,1.888,07/30/2019,08/15/2019,
CBFV,CB Financial Services Inc.,24.9,0.96,3.8632,06/07/2019,06/20/2019,
CBRL,Cracker Barrel Old Country Store Inc.,165.4,5.2,10.5179,07/18/2019,,
CBSH,Commerce Bancshares Inc.,57.07,1.04,1.8362,06/06/2019,06/24/2019,
CBTX,CBTX Inc.,26.93,0.4,1.476,06/28/2019,07/15/2019,
CCBG,Capital City Bank Group,24.38,0.44,1.7893,06/07/2019,06/24/2019,
CCD,Calamos Dynamic Convertible & Income Fund,19.765,2.004,10.0602,08/09/2019,08/20/2019,
CCLP,CSI Compressco LP,2.94,0.04,1.3333,07/31/2019,08/14/2019,
CCMP,Cabot Microelectronics Corporation,124.65,1.68,1.348,06/24/2019,07/30/2019,
CCNE,CNB Financial Corporation,26.44,0.68,2.5631,08/29/2019,09/13/2019,
CCOI,Cogent Communications Holdings Inc.,60.89,2.48,4.083,08/22/2019,09/09/2019,
CDC,Victory Portfolios II,44.65,0.487824,1.0957,08/14/2019,08/16/2019,
CDK,CDK Global Inc.,43.16,0.6,1.3652,08/30/2019,09/27/2019,
CDL,Victory Portfolios II,46.18,0.795372,1.731,08/14/2019,08/16/2019,
CDW,CDW Corporation,115.5,1.18,1.0288,08/23/2019,09/10/2019,
CERN,Cerner Corporation,68.91,0.72,1.0435,06/17/2019,07/26/2019,
CEY,Victory Portfolios II,22.24,1.995492,8.9968,08/14/2019,08/16/2019,
CEZ,Victory Portfolios II,24.42,1.05462,4.382,08/14/2019,08/16/2019,
CFA,Victory Portfolios II,51.95,0.345636,0.6653,08/14/2019,08/16/2019,
CFFI,C&F Financial Corporation,47.4,1.48,3.1409,06/13/2019,07/01/2019,
CFFN,Capitol Federal Financial Inc.,13.47,0.34,2.5279,08/01/2019,08/16/2019,
CFO,Victory Portfolios II,48.45,0.296964,0.6138,08/14/2019,08/16/2019,
CG,The Carlyle Group L.P.,22.78,1.72,7.4913,08/09/2019,08/19/2019,
CGBD,TCG BDC Inc.,14.42,1.48,12.5611,06/27/2019,07/17/2019,
CGNX,Cognex Corporation,45.08,0.2,0.4481,08/15/2019,08/30/2019,
CGO,Calamos Global Total Return Fund,11.87,1.2,10.0925,08/09/2019,08/20/2019,
CHCO,City Holding Company,74.35,2.12,2.8395,07/12/2019,07/31/2019,
CHI,Calamos Convertible Opportunities and Income Fund,10.28,0.96,9.2664,08/09/2019,08/20/2019,
CHMG,Chemung Financial Corp,40.19,1.04,2.5273,06/14/2019,07/01/2019,
CHRW,C.H. Robinson Worldwide Inc.,84.49,2,2.3776,06/06/2019,06/28/2019,
CHW,Calamos Global Dynamic Income Fund,7.69,0.84,10.8387,08/09/2019,08/20/2019,
CHY,Calamos Convertible and High Income Fund,11.09,1.02,9.1975,08/09/2019,08/20/2019,
CIBR,First Trust Exchange-Traded Fund II,28.31,0.0736,0.2602,06/14/2019,06/28/2019,
CID,Victory Portfolios II,30.6479,0.871524,2.8565,08/14/2019,08/16/2019,
CIL,Victory Portfolios II,36.24,0.629196,1.7362,08/14/2019,08/16/2019,
CINF,Cincinnati Financial Corporation,112.49,2.24,1.9879,06/18/2019,07/15/2019,
CIVB,Civista Bancshares Inc. ,20.43,0.44,2.1012,07/22/2019,08/01/2019,
CIZ,Victory Portfolios II,30.4809,0.406596,1.3353,08/14/2019,08/16/2019,
CIZN,Citizens Holding Company,20.1,0.96,4.8608,06/13/2019,06/28/2019,
CLAR,Clarus Corporation,11.01,0.1,0.9033,08/02/2019,08/16/2019,
CLCT,Collectors Universe Inc.,25.92,0.7,2.7537,08/15/2019,08/30/2019,
CLDB,Cortland Bancorp,23,0.44,1.8723,08/12/2019,09/03/2019,
CLRG,IndexIQ ETF Trust,24.2868,0.42068,1.7405,06/24/2019,06/28/2019,
CMCO,Columbus McKinnon Corporation,32.37,0.24,0.7477,08/08/2019,08/19/2019,
CMCSA,Comcast Corporation,44.26,0.84,1.9017,07/02/2019,07/24/2019,
CMCT,CIM Commercial Trust Corporation,20,0.5,2.5368,06/13/2019,06/27/2019,
CME,CME Group Inc.,217.29,3,1.3909,06/07/2019,06/25/2019,
CMFN,CM Finance Inc,7.03,1,13.8122,06/13/2019,07/05/2019,
CMTL,Comtech Telecommunications Corp.,26.75,0.4,1.4998,07/16/2019,08/16/2019,
CNBKA,Century Bancorp Inc.,81,0.48,0.579,07/31/2019,08/15/2019,
CNMD,CONMED Corporation,100.77,0.8,0.7901,06/13/2019,07/05/2019,
CNOB,ConnectOne Bancorp Inc.,20.48,0.36,1.725,07/12/2019,08/01/2019,
COHU,Cohu Inc.,11.92,0.24,2.0185,08/22/2019,10/18/2019,
COKE,Coca-Cola Consolidated Inc.,336.61,1,0.2885,07/25/2019,08/09/2019,
COLB,Columbia Banking System Inc.,34.51,1.12,3.2806,08/06/2019,08/21/2019,
COLM,Columbia Sportswear Company,93.79,0.96,1.0113,08/14/2019,08/29/2019,
CONE,CyrusOne Inc,73.46,1.84,2.5178,06/27/2019,07/12/2019,
CORE,Core-Mark Holding Company Inc.,32.39,0.44,1.3431,08/21/2019,09/13/2019,
COST,Costco Wholesale Corporation,294.76,2.6,0.8767,08/29/2019,09/13/2019,
CPHC,Canterbury Park Holding Corporation,12.2,0.28,2.2672,06/27/2019,07/15/2019,
CPLP,Capital Product Partners L.P.,10.53,1.26,11.7318,08/01/2019,08/15/2019,
CPSI,Computer Programs and Systems Inc.,21.15,0.4,1.8735,08/15/2019,08/30/2019,
CPTA,Capitala Finance Corp.,7.66,0.9996,13.4899,08/21/2019,08/29/2019,
CRAI,CRA InternationalInc.,38.89,0.8,2.0747,08/26/2019,09/13/2019,
CRWS,Crown Crafts Inc.,5.36,0.32,6.1776,06/13/2019,07/05/2019,
CSA,Victory Portfolios II,44.01,0.081264,0.1845,08/14/2019,08/16/2019,
CSB,Victory Portfolios II,42.37,0.977508,2.3024,08/14/2019,08/16/2019,
CSCO,Cisco Systems Inc.,46.81,1.4,2.9617,07/03/2019,07/24/2019,
CSF,Victory Portfolios II,36.29,0.271116,0.7466,08/14/2019,08/16/2019,
CSFL,CenterState Bank Corporation,22.62,0.44,1.9281,06/13/2019,06/28/2019,
CSGS,CSG Systems International Inc.,53.88,0.89,1.677,06/03/2019,06/19/2019,
CSML,IndexIQ ETF Trust,23.91,0.42628,1.7806,06/24/2019,06/28/2019,
CSPI,CSP Inc.,13.6455,0.6,4.4158,08/29/2019,09/13/2019,
CSQ,Calamos Strategic Total Return Fund,12.59,0.99,7.8696,08/09/2019,08/20/2019,
CSTR,CapStar Financial Holdings Inc.,15.46,0.2,1.2837,08/09/2019,08/26/2019,
CSWI,CSW Industrials Inc.,68.21,0.54,0.7982,07/29/2019,08/15/2019,
CSX,CSX Corporation,67.02,0.96,1.4434,08/29/2019,09/13/2019,
CTBI,Community Trust Bancorp Inc.,38.9,1.44,3.681,06/13/2019,07/01/2019,
CTRE,CareTrust REIT Inc.,23.79,0.9,3.761,06/27/2019,07/15/2019,
CTRN,Citi Trends Inc.,16.81,0.32,1.8681,08/30/2019,09/17/2019,
CTSH,Cognizant Technology Solutions Corporation,61.39,0.8,1.3034,08/21/2019,08/30/2019,
CTWS,Connecticut Water Service Inc.,70.14,1.31,1.8629,08/30/2019,09/17/2019,
CTXS,Citrix Systems Inc.,92.98,1.4,1.5093,06/06/2019,06/21/2019,
CVBF,CVB Financial Corporation,20.57,0.72,3.5036,07/02/2019,07/18/2019,
CVCY,Central Valley Community Bancorp,19.58,0.44,2.268,08/01/2019,08/16/2019,
CVLY,Codorus Valley Bancorp Inc,22.36,0.64,2.8356,07/22/2019,08/13/2019,
CWBC,Community West Bancshares,9.68,0.22,2.2727,08/12/2019,08/30/2019,
CXSE,WisdomTree Trust,71.75,1.42,1.9761,06/24/2019,06/28/2019,
CY,Cypress Semiconductor Corporation,23.01,0.44,1.9164,06/26/2019,07/18/2019,
CZNC,Citizens & Northern Corp,23.72,1.08,4.5763,07/26/2019,08/09/2019,
DAKT,Daktronics Inc.,7.23,0.2,2.7586,06/07/2019,06/20/2019,
DALI,First Trust Exchange-Traded Fund VI,19.9368,0.01,0.0499,06/14/2019,06/28/2019,
DAX,Global X Funds,25.22,1.3822,5.5605,06/27/2019,07/08/2019,
DCOM,Dime Community Bancshares Inc.,19.83,0.56,2.8183,08/06/2019,08/14/2019,
DDIV,First Trust Exchange-Traded Fund VI,25.4764,0.944,3.7165,06/14/2019,06/28/2019,
DGICA,Donegal Group Inc.,14.43,0.58,4.0222,07/31/2019,08/15/2019,
DGICB,Donegal Group Inc.,12,0.51,3.7551,07/31/2019,08/15/2019,
DGRE,WisdomTree Trust,22.975,0.82,3.5855,06/24/2019,06/28/2019,
DGRS,WisdomTree Trust,33.631,0.84,2.4993,08/27/2019,08/30/2019,
DGRW,WisdomTree Trust,43.89,1.68,3.8352,08/27/2019,08/30/2019,
DMLP,Dorchester Minerals L.P.,17.95,2.060064,11.6454,07/26/2019,08/08/2019,
DNBF,DNB Financial Corp,41.16,0.28,0.676,06/04/2019,06/18/2019,
DNKN,Dunkin' Brands Group Inc.,82.44,1.5,1.7928,08/30/2019,09/12/2019,
DRIV,Global X Funds,12.515,0.22406,1.799,06/27/2019,07/08/2019,
DSWL,Deswell Industries Inc.,2.6899,0.14,5.283,06/24/2019,07/12/2019,
DVLU,First Trust Exchange-Traded Fund VI,18.04,0.314,1.7456,06/14/2019,06/28/2019,
DVOL,First Trust Exchange-Traded Fund VI,22.658,0.3276,1.4477,06/14/2019,06/28/2019,
DVY,iShares Trust,97.95,3.529184,3.6137,06/17/2019,06/21/2019,
DWFI,SPDR Series Trust,23.84,0.918576,3.8579,08/01/2019,08/07/2019,
DWIN,Invesco Exchange-Traded Fund Trust II,25.809,1.42512,5.5289,08/19/2019,08/30/2019,
DWPP,First Trust Exchange-Traded Fund,30.58,0.3184,1.0412,06/14/2019,06/28/2019,
DWTR,Invesco Exchange-Traded Fund Trust II,32.62,0.1778,0.5424,06/24/2019,06/28/2019,
DXGE,WisdomTree Trust,28.49,3.24,11.4382,06/24/2019,06/28/2019,
DXJS,WisdomTree Trust,36.5,1.73936,4.7982,06/24/2019,06/28/2019,
EBAY,eBay Inc.,40.29,0.56,1.3817,08/30/2019,09/20/2019,
EBIX,Ebix Inc.,35.42,0.3,0.8482,05/30/2019,06/14/2019,
EBMT,Eagle Bancorp Montana Inc.,16.4,0.38,2.3442,08/15/2019,09/06/2019,
EBSB,Meridian Bancorp Inc.,17.48,0.28,1.5927,06/17/2019,07/02/2019,
EBTC,Enterprise Bancorp Inc,28.93,0.64,2.2031,08/12/2019,09/03/2019,
ECOL,US Ecology Inc.,60.57,0.72,1.2036,07/18/2019,07/26/2019,
ECOW,Pacer Funds,23.19,1.397428,6.1452,06/25/2019,06/27/2019,
EDUC,Educational Development Corporation,5.88,0.2,3.3898,08/21/2019,09/10/2019,
EEI,Ecology and Environment Inc.,15.13,0.4,2.6525,08/02/2019,08/12/2019,
EEMA,iShares Inc.,62.53,0.614722,0.9888,06/17/2019,06/21/2019,
EFAS,Global X Funds,14.7302,0.9012,6.1098,08/05/2019,08/13/2019,
EFSC,Enterprise Financial Services Corporation,39.42,0.6,1.5182,06/13/2019,06/28/2019,
EGBN,Eagle Bancorp Inc.,40.74,0.88,2.1825,05/30/2019,06/14/2019,
EGOV,NIC Inc.,20.82,0.32,1.5304,06/10/2019,06/25/2019,
EMB,iShares Trust,115.02,5.019984,4.3789,08/01/2019,08/07/2019,
EMCB,WisdomTree Trust,72.6352,3.06,4.2004,08/27/2019,08/30/2019,
EMCF,Emclaire Financial Corp,32.9552,1.16,3.8132,08/30/2019,09/20/2019,
EMCG,WisdomTree Trust,21.4035,0.46,2.1606,06/24/2019,06/28/2019,
EMCI,EMC Insurance Group Inc.,35.94,0.92,2.562,08/26/2019,09/03/2019,
EMIF,iShares Trust,28,0.828412,2.9692,06/17/2019,06/21/2019,
EML,Eastern Company (The),22.06,0.44,1.9139,08/16/2019,09/16/2019,
EMXC,iShares Inc.,46.2545,0.478292,1.0449,06/17/2019,06/21/2019,
ENSG,The Ensign Group Inc.,49.9,0.19,0.381,06/27/2019,07/31/2019,
ENTG,Entegris Inc.,42.83,0.32,0.7461,07/30/2019,08/21/2019,
ENZL,iShares Trust,51.57,1.519112,2.963,06/17/2019,06/21/2019,
EQIX,Equinix Inc.,556.28,9.84,1.7643,08/20/2019,09/18/2019,
EQRR,ProShares Trust,37.5212,0.730108,1.96,06/25/2019,07/02/2019,
ERIE,Erie Indemnity Company,219.31,3.6,1.6629,07/08/2019,07/23/2019,
ESBK,Elmira Savings Bank NY (The),14.09,0.92,6.4855,06/04/2019,06/12/2019,
ESCA,Escalade Incorporated,10.33,0.5,4.8309,05/31/2019,06/10/2019,
ESGD,iShares Trust,62.15,2.343902,3.7872,06/17/2019,06/21/2019,
ESGE,iShares Inc.,31.99,0.520806,1.6414,06/17/2019,06/21/2019,
ESGG,FlexShares Trust,96.027,3.076608,3.2039,06/21/2019,06/27/2019,
ESGU,iShares Trust,64.31,1.177196,1.8291,06/17/2019,06/21/2019,
ESSA,ESSA Bancorp Inc.,15.3,0.4,2.6161,06/13/2019,06/28/2019,
ESXB,Community Bankers Trust Corporation.,7.76,0.12,1.5287,06/20/2019,07/01/2019,
ETFC,E*TRADE Financial Corporation,41.74,0.56,1.3514,08/16/2019,08/26/2019,
EUFN,iShares Trust,16.41,1.410358,8.605,06/17/2019,06/21/2019,
EVGBC,Eaton Vance NextShares Trust,99.99,0.3828,0.3828,08/01/2019,08/06/2019,
EVLMC,Eaton Vance NextShares Trust II,99.96,0.2424,0.2425,08/01/2019,08/06/2019,
EWBC,East West Bancorp Inc.,41.13,1.1,2.7248,07/31/2019,08/15/2019,
EWJE,iShares Trust,32.3,0.912016,2.8236,06/17/2019,06/21/2019,
EWJV,iShares Trust,23.7,0.91015,3.8713,06/17/2019,06/21/2019,
EWZS,iShares Trust,16.9229,0.452294,2.7247,06/17/2019,06/21/2019,
EXPD,Expeditors International of Washington Inc.,71.1,1,1.3982,05/31/2019,06/17/2019,
EXPE,Expedia Group Inc.,130.1,1.36,1.0461,08/21/2019,09/12/2019,
EXPO,Exponent Inc.,70.89,0.64,0.9106,06/06/2019,06/21/2019,
FAB,First Trust Exchange-Traded AlphaDEX Fund,50.42,0.8,1.5861,06/14/2019,06/28/2019,
FAD,First Trust Exchange-Traded AlphaDEX Fund,74.4818,0.12,0.1601,06/14/2019,06/28/2019,
FALN,iShares Trust,26.8,1.51458,5.6493,08/01/2019,08/07/2019,
FAST,Fastenal Company,30.62,0.88,2.8815,07/24/2019,08/22/2019,
FBIZ,First Business Financial Services Inc.,22.55,0.6,2.6467,08/02/2019,08/15/2019,
FBMS,The First Bancshares Inc.,31.54,0.32,1.0013,08/08/2019,08/23/2019,
FBNC,First Bancorp,35.22,0.48,1.3644,06/27/2019,07/25/2019,
FBSS,Fauquier Bankshares Inc.,20.6,0.48,2.3301,06/13/2019,07/01/2019,
FBZ,First Trust Exchange-Traded AlphDEX Fund II,15.92,0.5796,3.7369,06/14/2019,06/28/2019,
FCA,First Trust Exchange-Traded AlphDEX Fund II,23.87,1.6552,6.8425,06/14/2019,06/28/2019,
FCAL,First Trust Exchange-Traded Fund III,53.7,1.44,2.6814,08/21/2019,08/30/2019,
FCAN,First Trust Exchange-Traded AlphDEX Fund II,22.92,0.3088,1.3473,06/14/2019,06/28/2019,
FCAP,First Capital Inc.,56.6,0.96,1.6922,06/13/2019,06/28/2019,
FCBC,First Community Bankshares Inc.,31.81,1,3.127,08/01/2019,08/16/2019,
FCBP,First Choice Bancorp,20.94,0.8,3.9043,08/14/2019,08/29/2019,
FCCO,First Community Corporation,17.91,0.44,2.4567,07/26/2019,08/12/2019,
FCCY,1st Constitution Bancorp (NJ),17.41,0.3,1.7391,08/09/2019,08/23/2019,
FCEF,First Trust Exchange-Traded Fund VIII,21.7679,1.17,5.3867,08/13/2019,08/30/2019,
FCFS,FirstCash Inc.,98.73,1,1.002,08/14/2019,08/30/2019,
FCNCA,First Citizens BancShares Inc.,444.6,1.6,0.3603,06/14/2019,07/01/2019,
FCVT,First Trust Exchange-Traded Fund IV,31.45,0.48,1.5257,08/21/2019,08/30/2019,
FDBC,Fidelity D & D Bancorp Inc.,55.01,1.04,1.8087,08/19/2019,09/10/2019,
FDEF,First Defiance Financial Corp.,26.15,0.76,2.8941,08/15/2019,08/23/2019,
FDIV,First Trust Exchange-Traded Fund IV,50.306,1.92,3.8171,08/21/2019,08/30/2019,
FDNI,First Trust Exchange-Traded Fund II,22.0899,0.044,0.1992,06/14/2019,06/28/2019,
FDT,First Trust Exchange-Traded AlphDEX Fund II,50.99,2.0548,4.0489,06/14/2019,06/28/2019,
FDTS,First Trust Exchange-Traded AlphDEX Fund II,34.186,1.244,3.6848,06/14/2019,06/28/2019,
FDUS,Fidus Investment Corporation,15.14,1.56,10.3862,06/06/2019,06/21/2019,
FELE,Franklin Electric Co. Inc.,45.85,0.58,1.2835,07/31/2019,08/15/2019,
FEM,First Trust Exchange-Traded AlphDEX Fund II,23.34,1.3088,5.6268,06/14/2019,06/28/2019,
FEMB,First Trust Exchange-Traded Fund III,37.7805,1.8996,5.0347,08/21/2019,08/30/2019,
