Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,26.31,0.4,1.5198,08/06/2019,08/21/2019,
AAON,AAON Inc.,47.97,0.32,0.6733,05/31/2019,07/01/2019,
AAPL,Apple Inc.,208.74,3.08,1.4736,08/09/2019,08/15/2019,
AAXJ,iShares Trust,65.28,0.822308,1.2633,06/17/2019,06/21/2019,
ABCB,Ameris Bancorp,35.19,0.4,1.1303,06/27/2019,07/10/2019,
ABDC,Alcentra Capital Corp.,8.97,0.72,14.7321,06/27/2019,07/03/2019,
ACNB,ACNB Corporation,33.68,1,2.9735,08/28/2019,09/13/2019,
ACWI,iShares Trust,72.13,1.812514,2.5177,06/17/2019,06/21/2019,
ACWX,iShares Trust,44.85,1.57141,3.5218,06/17/2019,06/21/2019,
ADES,Advanced Emissions Solutions Inc.,12.62,1,7.8678,08/16/2019,09/06/2019,
ADI,Analog Devices Inc.,109.83,2.16,1.9813,08/29/2019,09/11/2019,
ADP,Automatic Data Processing Inc.,169.84,3.16,1.865,06/13/2019,07/01/2019,
ADRA,Invesco BLDRS Index Funds Trust,30.09,0.91512,3.0513,06/24/2019,07/31/2019,
ADRD,Invesco BLDRS Index Funds Trust,20.5272,1.08988,5.3058,06/24/2019,07/31/2019,
ADRE,Invesco BLDRS Index Funds Trust,38.16,0.82624,2.1795,06/24/2019,07/31/2019,
ADRU,Invesco BLDRS Index Funds Trust,20.1122,1.06912,5.3392,06/24/2019,07/31/2019,
ADTN,ADTRAN Inc.,10.27,0.36,3.4286,07/31/2019,08/15/2019,
AFIN,American Finance Trust Inc.,11.97,1.1,9.2671,08/07/2019,08/15/2019,
AGNC,AGNC Investment Corp.,14.87,1.92,12.9555,08/29/2019,09/11/2019,
AGND,WisdomTree Trust,40.458,1.2,2.972,08/27/2019,08/30/2019,
AGZD,WisdomTree Trust,47.6933,1.44,3.0236,08/27/2019,08/30/2019,
AIA,iShares Trust,56.59,0.836816,1.4798,06/17/2019,06/21/2019,
AIMC,Altra Industrial Motion Corp.,25.99,0.68,2.6931,06/17/2019,07/02/2019,
AIQ,Global X Funds,16.1,0.108784,0.6774,06/27/2019,07/08/2019,
ALCO,Alico Inc.,29.85,0.24,0.7739,06/27/2019,07/12/2019,
ALGT,Allegiant Travel Company,141.99,2.8,1.9788,06/13/2019,06/27/2019,
ALOT,AstroNova Inc.,16.43,0.28,1.7424,06/14/2019,06/24/2019,
ALTY,Global X Funds,14.6644,1.1772,8.0228,08/05/2019,08/13/2019,
