Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
BCBP,BCB Bancorp Inc. (NJ),12.08,0.56,4.7579,08/08/2019,08/23/2019,
BCTF,Bancorp 34 Inc.,15.58,0.2,1.282,06/03/2019,06/18/2019,
BDGE,Bridge Bancorp Inc.,28.07,0.92,3.365,07/19/2019,07/29/2019,
BELFA,Bel Fuse Inc.,11.25,0.24,2.3762,07/12/2019,08/01/2019,
BELFB,Bel Fuse Inc.,11.53,0.28,2.4263,07/12/2019,08/01/2019,
BFC,Bank First Corporation,55.65,0.8,1.4506,06/21/2019,07/08/2019,
BFIN,BankFinancial Corporation,11.58,0.4,3.3985,08/06/2019,08/23/2019,
BFIT,Global X Funds,18.8002,0.152062,0.8088,06/27/2019,07/08/2019,
BFST,Business First Bancshares Inc.,24.25,0.4,1.7204,08/14/2019,08/31/2019,
BGCP,BGC Partners Inc.,5.09,0.56,11.4286,08/13/2019,08/28/2019,
BGFV,Big 5 Sporting Goods Corporation,1.77,0.2,11.7647,05/30/2019,06/14/2019,
BGRN,iShares Trust,56.14,1.378284,2.4542,08/01/2019,08/07/2019,
BICK,First Trust Exchange-Traded Fund II,25.0025,0.008,0.0326,06/14/2019,06/28/2019,
BIS,ProShares Trust,18.16,0.385224,2.0243,06/25/2019,07/02/2019,
BJRI,BJ's Restaurants Inc.,35.85,0.48,1.4665,08/09/2019,08/26/2019,
BKCC,BlackRock Capital Investment Corporation,5.28,0.72,13.8728,06/17/2019,07/09/2019,
BKEP,Blueknight Energy Partners L.P. L.L.C.,1.2635,0.16,12.6984,08/01/2019,08/14/2019,
BKSC,Bank of South Carolina Corp.,18.5,0.64,3.4595,07/08/2019,07/31/2019,
BLCN,Reality Shares ETF Trust,22.59,0.888,4.0069,06/25/2019,06/28/2019,
BLKB,Blackbaud Inc.,93.27,0.48,0.5288,05/24/2019,06/14/2019,
BLMN,Bloomin' Brands Inc.,15.51,0.4,2.579,08/09/2019,08/21/2019,
BMLP,Bank Of Montreal,46.5,3.477348,7.4782,06/27/2019,07/09/2019,
BMRC,Bank of Marin Bancorp,41.7,0.84,2.0443,08/01/2019,08/09/2019,
BMTC,Bryn Mawr Bank Corporation,35.57,1.04,3.0171,07/31/2019,09/01/2019,
BND,Vanguard Bond Index Funds,84.83,2.320956,2.7331,08/01/2019,08/06/2019,
BNDW,Vanguard Scottsdale Funds,80.81,1.4856,1.8372,08/01/2019,08/06/2019,
BNDX,Vanguard Charlotte Funds,59.08,0.648,1.0951,08/01/2019,08/06/2019,
BOCH,Bank of Commerce Holdings (CA),10.15,0.2,2.002,07/01/2019,07/12/2019,
BOKF,BOK Financial Corporation,78.18,2,2.6337,08/09/2019,08/27/2019,
BOOM,DMC Global Inc.,45.38,0.08,0.1815,06/27/2019,07/16/2019,
BOTJ,Bank of the James Financial Group Inc.,14.9,0.24,1.6032,06/06/2019,06/21/2019,
BOTZ,Global X Funds,18.49,0.301624,1.66,06/27/2019,07/08/2019,
BPFH,Boston Private Financial Holdings Inc.,10.7,0.48,4.6332,08/08/2019,08/23/2019,
BPOP,Popular Inc.,52.54,1.2,2.3292,05/24/2019,07/01/2019,
BPR,Brookfield Property REIT Inc.,19.1,1.32,7.0362,05/30/2019,06/28/2019,
BPRN,The Bank of Princeton,26.79,0.12,0.4511,08/08/2019,08/30/2019,
BRKL,Brookline Bancorp Inc.,14.15,0.44,3.1977,08/08/2019,08/23/2019,
BRKR,Bruker Corporation,41.47,0.16,0.4004,05/31/2019,06/21/2019,
BRKS,Brooks Automation Inc.,31.24,0.4,1.318,06/06/2019,06/28/2019,
BRY,Berry Petroleum Corporation,8.6,0.48,5.8394,06/13/2019,07/15/2019,
BSET,Bassett Furniture Industries Incorporated,11.96,0.5,4.1806,08/15/2019,08/30/2019,
BSRR,Sierra Bancorp,25.02,0.76,3.1327,07/31/2019,08/15/2019,
BUSE,First Busey Corporation,25.28,0.84,3.416,07/18/2019,07/26/2019,
BWFG,Bankwell Financial Group Inc.,25.46,0.52,2.0505,08/15/2019,08/26/2019,
CAC,Camden National Corporation,42.41,1.2,2.8839,07/12/2019,07/31/2019,
CAKE,The Cheesecake Factory Incorporated,36.49,1.44,3.9735,08/13/2019,08/27/2019,
CALM,Cal-Maine Foods Inc.,43.06,1.088,2.6022,04/30/2019,05/16/2019,
CARO,Carolina Financial Corporation,34.23,0.36,1.0733,06/13/2019,07/05/2019,
CARZ,First Trust Exchange-Traded Fund II,29.96,1.8796,6.3688,06/14/2019,06/28/2019,
CASH,Meta Financial Group Inc.,30.28,0.2,0.6791,06/07/2019,07/01/2019,
CASS,Cass Information Systems Inc,50.04,1.04,2.122,06/03/2019,06/14/2019,
CASY,Caseys General Stores Inc.,170.02,1.28,0.7671,07/31/2019,08/15/2019,
CATC,Cambridge Bancorp,74.89,2.04,2.6842,07/31/2019,08/15/2019,
CATH,Global X Funds,35.3271,0.498264,1.4285,06/27/2019,07/08/2019,
CATY,Cathay General Bancorp,33.94,1.24,3.761,05/31/2019,06/13/2019,
CBAN,Colony Bankcorp Inc.,16.08,0.3,1.8892,07/30/2019,08/15/2019,
CBFV,CB Financial Services Inc.,25.74,0.96,3.8232,06/07/2019,06/20/2019,
CBRL,Cracker Barrel Old Country Store Inc.,164.94,5.2,10.4923,07/18/2019,,
CBSH,Commerce Bancshares Inc.,57.15,1.04,1.8671,06/06/2019,06/24/2019,
CBTX,CBTX Inc.,28.33,0.4,1.4388,06/28/2019,07/15/2019,
CCBG,Capital City Bank Group,23.94,0.44,1.8085,06/07/2019,06/24/2019,
CCD,Calamos Dynamic Convertible & Income Fund,19.88,2.004,10.1417,08/09/2019,08/20/2019,
CCLP,CSI Compressco LP,3.29,0.04,1.2308,07/31/2019,08/14/2019,
CCMP,Cabot Microelectronics Corporation,122.79,1.68,1.4206,06/24/2019,07/30/2019,
CCNE,CNB Financial Corporation,27.09,0.68,2.5846,05/30/2019,06/14/2019,
CCOI,Cogent Communications Holdings Inc.,58.01,2.4,4.3204,05/16/2019,05/31/2019,
CDC,Victory Portfolios II,44.1,0.487824,1.123,08/14/2019,08/16/2019,
CDK,CDK Global Inc.,44.96,0.6,1.3721,05/31/2019,06/27/2019,
CDL,Victory Portfolios II,45.538,0.795372,1.7686,08/14/2019,08/16/2019,
CDW,CDW Corporation,111.69,1.18,1.0854,05/23/2019,06/11/2019,
CERN,Cerner Corporation,70.65,0.72,1.0397,06/17/2019,07/26/2019,
CEY,Victory Portfolios II,22.1397,1.995492,9.0803,08/14/2019,08/16/2019,
CEZ,Victory Portfolios II,24.2,1.05462,4.4163,08/14/2019,08/16/2019,
CFA,Victory Portfolios II,51.36,0.345636,0.6833,08/14/2019,08/16/2019,
CFFI,C&F Financial Corporation,46.04,1.48,3.1224,06/13/2019,07/01/2019,
CFFN,Capitol Federal Financial Inc.,13.46,0.34,2.5583,08/01/2019,08/16/2019,
CFO,Victory Portfolios II,47.87,0.296964,0.63,08/14/2019,08/16/2019,
CG,The Carlyle Group L.P.,21.71,1.72,8.1633,08/09/2019,08/19/2019,
CGBD,TCG BDC Inc.,13.77,1.48,13.3038,06/27/2019,07/17/2019,
CGNX,Cognex Corporation,44.19,0.2,0.4596,08/15/2019,08/30/2019,
CGO,Calamos Global Total Return Fund,12.08,1.2,10.0334,08/09/2019,08/20/2019,
CHCO,City Holding Company,75.83,2.12,2.8765,07/12/2019,07/31/2019,
CHI,Calamos Convertible Opportunities and Income Fund,10.31,0.96,9.3659,08/09/2019,08/20/2019,
CHMG,Chemung Financial Corp,41,1.04,2.5929,06/14/2019,07/01/2019,
CHRW,C.H. Robinson Worldwide Inc.,83.82,2,2.4125,06/06/2019,06/28/2019,
CHW,Calamos Global Dynamic Income Fund,7.68,0.84,11.0526,08/09/2019,08/20/2019,
CHY,Calamos Convertible and High Income Fund,10.99,1.02,9.3407,08/09/2019,08/20/2019,
CIBR,First Trust Exchange-Traded Fund II,28.51,0.0736,0.2599,06/14/2019,06/28/2019,
CID,Victory Portfolios II,30.26,0.871524,2.9216,08/14/2019,08/16/2019,
CIL,Victory Portfolios II,35.76,0.629196,1.7755,08/14/2019,08/16/2019,
CINF,Cincinnati Financial Corporation,109.7,2.24,2.063,06/18/2019,07/15/2019,
CIVB,Civista Bancshares Inc. ,21.31,0.44,2.1287,07/22/2019,08/01/2019,
CIZ,Victory Portfolios II,30.135,0.406596,1.3657,08/14/2019,08/16/2019,
CIZN,Citizens Holding Company,20.45,0.96,4.6944,06/13/2019,06/28/2019,
CLAR,Clarus Corporation,10.69,0.1,0.9208,08/02/2019,08/16/2019,
CLCT,Collectors Universe Inc.,23.15,0.7,2.8618,08/15/2019,08/30/2019,
CLDB,Cortland Bancorp,22.5,0.44,1.9556,08/12/2019,09/03/2019,
CLRG,IndexIQ ETF Trust,24.14,0.42068,1.7735,06/24/2019,06/28/2019,
CMCO,Columbus McKinnon Corporation,33.5,0.24,0.7348,08/08/2019,08/19/2019,
CMCSA,Comcast Corporation,43.18,0.84,1.9835,07/02/2019,07/24/2019,
CMCT,CIM Commercial Trust Corporation,21.8,0.5,2.2422,06/13/2019,06/27/2019,
CME,CME Group Inc.,213.58,3,1.4104,06/07/2019,06/25/2019,
CMFN,CM Finance Inc,7.12,1,14.0056,06/13/2019,07/05/2019,
CMTL,Comtech Telecommunications Corp.,27.49,0.4,1.487,07/16/2019,08/16/2019,
CNBKA,Century Bancorp Inc.,81.5,0.48,0.5987,07/31/2019,08/15/2019,
CNMD,CONMED Corporation,95.02,0.8,0.85,06/13/2019,07/05/2019,
CNOB,ConnectOne Bancorp Inc.,20.07,0.36,1.8367,07/12/2019,08/01/2019,
COHU,Cohu Inc.,12.71,0.24,1.9139,06/13/2019,07/26/2019,
COKE,Coca-Cola Consolidated Inc.,364.81,1,0.2802,07/25/2019,08/09/2019,
COLB,Columbia Banking System Inc.,34.44,1.12,3.3254,08/06/2019,08/21/2019,
COLM,Columbia Sportswear Company,93.02,0.96,1.0423,08/14/2019,08/29/2019,
CONE,CyrusOne Inc,69.99,1.84,2.8435,06/27/2019,07/12/2019,
CORE,Core-Mark Holding Company Inc.,33.42,0.44,1.3576,05/22/2019,06/14/2019,
COST,Costco Wholesale Corporation,274.1,2.6,0.9576,05/09/2019,05/24/2019,
CPHC,Canterbury Park Holding Corporation,12.9,0.28,2.224,06/27/2019,07/15/2019,
CPLP,Capital Product Partners L.P.,10.62,1.26,12.3894,08/01/2019,08/15/2019,
CPSI,Computer Programs and Systems Inc.,21.37,0.4,1.8587,08/15/2019,08/30/2019,
CPTA,Capitala Finance Corp.,8.2,0.9996,12.4174,07/22/2019,07/30/2019,
CRAI,CRA InternationalInc.,41.62,0.8,1.9408,05/24/2019,06/14/2019,
CRWS,Crown Crafts Inc.,5.2501,0.32,6.0952,06/13/2019,07/05/2019,
CSA,Victory Portfolios II,44.0247,0.081264,0.1879,08/14/2019,08/16/2019,
CSB,Victory Portfolios II,42.16,0.977508,2.3686,08/14/2019,08/16/2019,
CSCO,Cisco Systems Inc.,46.96,1.4,3.027,07/03/2019,07/24/2019,
CSF,Victory Portfolios II,36.2521,0.271116,0.7648,08/14/2019,08/16/2019,
CSFL,CenterState Bank Corporation,23.1,0.44,1.9643,06/13/2019,06/28/2019,
CSGS,CSG Systems International Inc.,52.7,0.89,1.7201,06/03/2019,06/19/2019,
CSML,IndexIQ ETF Trust,23.91,0.42628,1.824,06/24/2019,06/28/2019,
CSPI,CSP Inc.,13.644,0.6,4.4438,05/30/2019,06/14/2019,
CSQ,Calamos Strategic Total Return Fund,12.46,0.99,8.0685,08/09/2019,08/20/2019,
CSTR,CapStar Financial Holdings Inc.,15.26,0.2,1.328,08/09/2019,08/26/2019,
CSWI,CSW Industrials Inc.,70.25,0.54,0.7913,07/29/2019,08/15/2019,
CSX,CSX Corporation,65.09,0.96,1.4905,05/30/2019,06/14/2019,
CTBI,Community Trust Bancorp Inc.,40.52,1.44,3.6791,06/13/2019,07/01/2019,
CTRE,CareTrust REIT Inc.,23.28,0.9,3.925,06/27/2019,07/15/2019,
CTRN,Citi Trends Inc.,15.3,0.32,2.1234,06/03/2019,06/18/2019,
CTSH,Cognizant Technology Solutions Corporation,61.22,0.8,1.3206,05/21/2019,05/31/2019,
CTWS,Connecticut Water Service Inc.,70.03,1.31,1.872,05/31/2019,06/17/2019,
CTXS,Citrix Systems Inc.,92.44,1.4,1.5299,06/06/2019,06/21/2019,
CVBF,CVB Financial Corporation,20.75,0.72,3.5644,07/02/2019,07/18/2019,
CVCY,Central Valley Community Bancorp,20.12,0.44,2.2245,08/01/2019,08/16/2019,
CVLY,Codorus Valley Bancorp Inc,22.34,0.64,2.9534,07/22/2019,08/13/2019,
CWBC,Community West Bancshares,9.67,0.22,2.2507,08/12/2019,08/30/2019,
CXSE,WisdomTree Trust,70.6,1.42,2.0497,06/24/2019,06/28/2019,
CY,Cypress Semiconductor Corporation,22.96,0.44,1.9256,06/26/2019,07/18/2019,
CZNC,Citizens & Northern Corp,24.3,1.08,4.5531,07/26/2019,08/09/2019,
DAKT,Daktronics Inc.,6.06,0.2,3.3898,06/07/2019,06/20/2019,
DALI,First Trust Exchange-Traded Fund VI,19.89,0.01,0.051,06/14/2019,06/28/2019,
DAX,Global X Funds,24.37,1.3822,5.74,06/27/2019,07/08/2019,
DCOM,Dime Community Bancshares Inc.,20.24,0.56,2.7805,08/06/2019,08/14/2019,
DDIV,First Trust Exchange-Traded Fund VI,25.1244,0.944,3.8111,06/14/2019,06/28/2019,
DGICA,Donegal Group Inc.,14.93,0.58,3.8874,07/31/2019,08/15/2019,
DGICB,Donegal Group Inc.,14.1,0.51,3.8636,07/31/2019,08/15/2019,
DGRE,WisdomTree Trust,22.5604,0.82,3.6755,06/24/2019,06/28/2019,
DGRS,WisdomTree Trust,33.3946,0.48,1.4685,07/23/2019,07/26/2019,
DGRW,WisdomTree Trust,43.14,0.72,1.6957,07/23/2019,07/26/2019,
DMLP,Dorchester Minerals L.P.,17.52,2.060064,11.7449,07/26/2019,08/08/2019,
DNBF,DNB Financial Corp,42.35,0.28,0.6718,06/04/2019,06/18/2019,
DNKN,Dunkin' Brands Group Inc.,82.84,1.5,1.818,05/31/2019,06/12/2019,
DRIV,Global X Funds,12.4,0.22406,1.8579,06/27/2019,07/08/2019,
DSWL,Deswell Industries Inc.,2.667,0.14,5.2566,06/24/2019,07/12/2019,
DVLU,First Trust Exchange-Traded Fund VI,17.87,0.314,1.7871,06/14/2019,06/28/2019,
DVOL,First Trust Exchange-Traded Fund VI,22.4,0.3276,1.4717,06/14/2019,06/28/2019,
DVY,iShares Trust,96.69,3.529184,3.7048,06/17/2019,06/21/2019,
DWFI,SPDR Series Trust,23.6602,0.918576,3.8776,08/01/2019,08/07/2019,
DWIN,Invesco Exchange-Traded Fund Trust II,25.77,1.35048,5.2446,07/22/2019,07/31/2019,
DWPP,First Trust Exchange-Traded Fund,30.28,0.3184,1.0685,06/14/2019,06/28/2019,
DWTR,Invesco Exchange-Traded Fund Trust II,32.2,0.1778,0.5595,06/24/2019,06/28/2019,
DXGE,WisdomTree Trust,27.08,3.24,11.9645,06/24/2019,06/28/2019,
DXJS,WisdomTree Trust,35.838,1.73936,4.91,06/24/2019,06/28/2019,
EBAY,eBay Inc.,40.02,0.56,1.4199,05/30/2019,06/20/2019,
EBIX,Ebix Inc.,35.08,0.3,0.885,05/30/2019,06/14/2019,
EBMT,Eagle Bancorp Montana Inc.,17.2,0.38,2.313,08/15/2019,09/06/2019,
EBSB,Meridian Bancorp Inc.,18.03,0.28,1.5927,06/17/2019,07/02/2019,
EBTC,Enterprise Bancorp Inc,28.6,0.64,2.3113,08/12/2019,09/03/2019,
ECOL,US Ecology Inc.,61.16,0.72,1.1801,07/18/2019,07/26/2019,
ECOW,Pacer Funds,23.05,1.397428,6.113,06/25/2019,06/27/2019,
EEI,Ecology and Environment Inc.,9.85,0.4,4.0445,08/02/2019,08/12/2019,
EEMA,iShares Inc.,61.56,0.614722,1.0171,06/17/2019,06/21/2019,
EFAS,Global X Funds,14.6601,0.9012,6.2152,08/05/2019,08/13/2019,
EFSC,Enterprise Financial Services Corporation,39.32,0.6,1.558,06/13/2019,06/28/2019,
EGBN,Eagle Bancorp Inc.,39.93,0.88,2.2745,05/30/2019,06/14/2019,
EGOV,NIC Inc.,20.52,0.32,1.596,06/10/2019,06/25/2019,
EMB,iShares Trust,114.02,5.019984,4.428,08/01/2019,08/07/2019,
EMCB,WisdomTree Trust,72.6784,3.18,4.3574,07/23/2019,07/26/2019,
EMCF,Emclaire Financial Corp,33.5,1.16,3.4503,05/31/2019,06/21/2019,
EMCG,WisdomTree Trust,21.2082,0.46,2.2052,06/24/2019,06/28/2019,
EMCI,EMC Insurance Group Inc.,36.14,0.92,2.54,06/03/2019,06/11/2019,
EMIF,iShares Trust,27.4,0.828412,3.0682,06/17/2019,06/21/2019,
EML,Eastern Company (The),22.77,0.44,1.9298,08/16/2019,09/16/2019,
EMXC,iShares Inc.,45.81,0.478292,1.0546,06/17/2019,06/21/2019,
ENSG,The Ensign Group Inc.,51.775,0.19,0.3741,06/27/2019,07/31/2019,
ENTG,Entegris Inc.,42.26,0.32,0.7737,07/30/2019,08/21/2019,
ENZL,iShares Trust,52.13,1.519112,2.8969,06/17/2019,06/21/2019,
EQIX,Equinix Inc.,551.81,9.84,1.8011,05/21/2019,06/19/2019,
