Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,32.46,0.4,1.2323,05/07/2019,05/22/2019,
AAME,Atlantic American Corporation,2.39,0.02,0.8368,04/09/2019,04/24/2019,
AAON,AAON Inc.,49.71,0.32,0.6437,05/31/2019,07/01/2019,
AAPL,Apple Inc.,204.23,3.08,1.5081,05/10/2019,05/16/2019,
AAXJ,iShares Trust,69.88,0.822308,1.1767,06/17/2019,06/21/2019,
ABCB,Ameris Bancorp,39.36,0.4,1.0163,06/27/2019,07/10/2019,
ABDC,Alcentra Capital Corp.,8.39,0.72,15.733,06/27/2019,07/03/2019,
ACNB,ACNB Corporation,38.1,1,2.6247,05/30/2019,06/14/2019,
ACWI,iShares Trust,74.59,1.812514,2.43,06/17/2019,06/21/2019,
ACWX,iShares Trust,47.05,1.57141,3.3399,06/17/2019,06/21/2019,
ADES,Advanced Emissions Solutions Inc.,13,1,7.6923,05/17/2019,06/07/2019,
ADI,Analog Devices Inc.,112.86,2.16,1.9139,05/30/2019,06/11/2019,
ADP,Automatic Data Processing Inc.,164.84,3.16,1.917,06/13/2019,07/01/2019,
ADRA,Invesco BLDRS Index Funds Trust,31.16,0.91512,2.9368,06/24/2019,07/31/2019,
ADRD,Invesco BLDRS Index Funds Trust,21.82,1.08988,4.9949,06/24/2019,07/31/2019,
ADRE,Invesco BLDRS Index Funds Trust,40.4303,0.82624,2.0436,06/24/2019,07/31/2019,
ADRU,Invesco BLDRS Index Funds Trust,21.34,1.06912,5.0099,06/24/2019,07/31/2019,
ADTN,ADTRAN Inc.,15.36,0.36,2.3438,05/01/2019,05/16/2019,
AFIN,American Finance Trust Inc.,11.25,1.1,9.7778,06/07/2019,06/17/2019,
AGNC,AGNC Investment Corp.,17,1.92,11.2941,06/27/2019,07/10/2019,
AGND,WisdomTree Trust,41.84,1.224,2.9254,06/24/2019,06/28/2019,
AGZD,WisdomTree Trust,47.875,1.38,2.8825,06/24/2019,06/28/2019,
AIA,iShares Trust,60.96,0.836816,1.3727,06/17/2019,06/21/2019,
AIMC,Altra Industrial Motion Corp.,34.25,0.68,1.9854,06/17/2019,07/02/2019,
AIQ,Global X Funds,16.623,0.108784,0.6544,06/27/2019,07/08/2019,
ALCO,Alico Inc.,30.29,0.24,0.7923,06/27/2019,07/12/2019,
ALGT,Allegiant Travel Company,144.73,2.8,1.9346,06/13/2019,06/27/2019,
ALOT,AstroNova Inc.,25.95,0.28,1.079,06/14/2019,06/24/2019,
ALTY,Global X Funds,15.015,1.1652,7.7602,07/03/2019,07/12/2019,
AMAL,Amalgamated Bank,17.82,0.24,1.3468,05/15/2019,05/31/2019,
AMAT,Applied Materials Inc.,43.98,0.84,1.91,05/22/2019,06/13/2019,
AMCA,iShares Trust,28.63,0.57014,1.9914,06/17/2019,06/21/2019,
AMGN,Amgen Inc.,185.94,5.8,3.1193,05/16/2019,06/07/2019,
AMNB,American National Bankshares Inc.,37.87,1,2.6406,06/06/2019,06/21/2019,
AMOT,Allied Motion Technologies Inc.,37.4,0.12,0.3209,05/15/2019,05/29/2019,
AMRB,American River Bankshares,12.3,0.2,1.626,04/30/2019,05/15/2019,
AMSF,AMERISAFE Inc.,64.38,1,1.5533,06/06/2019,06/21/2019,
AMSWA,American Software Inc.,13.38,0.44,3.2885,05/09/2019,05/24/2019,
AMTD,TD Ameritrade Holding Corporation,51.23,1.2,2.3424,05/06/2019,05/21/2019,
ANAT,American National Insurance Company,124.02,3.28,2.6447,06/06/2019,06/21/2019,
ANDE,The Andersons Inc.,27.27,0.68,2.4936,06/28/2019,07/22/2019,
APOG,Apogee Enterprises Inc.,43.26,0.7,1.6181,05/15/2019,05/31/2019,
ARCB,ArcBest Corporation,27.24,0.32,1.1747,05/13/2019,05/28/2019,
ARKR,Ark Restaurants Corp.,20.2,1,4.9505,06/20/2019,07/08/2019,
ARLP,Alliance Resource Partners L.P.,17.69,2.14,12.0972,05/07/2019,05/15/2019,
AROW,Arrow Financial Corporation,34.45,1.04,3.0189,06/03/2019,06/14/2019,
ARTNA,Artesian Resources Corporation,36.71,0.9836,2.6794,05/09/2019,05/23/2019,
ASET,FlexShares Trust,29.84,0.925864,3.1028,06/27/2019,07/03/2019,
ASRV,AmeriServ Financial Inc.,4.1001,0.1,2.439,05/03/2019,05/20/2019,
ASTE,Astec Industries Inc.,31.54,0.44,1.3951,05/13/2019,05/30/2019,
ATLO,Ames National Corporation,27.1,0.96,3.5424,04/30/2019,05/15/2019,
ATNI,ATN International Inc.,59.9,0.68,1.1352,06/27/2019,07/08/2019,
ATRI,Atrion Corporation,817.65,5.4,0.6604,06/13/2019,06/28/2019,
AUB,Atlantic Union Bankshares Corporation,35.4,0.92,2.5989,05/16/2019,05/31/2019,
AUBN,Auburn National Bancorporation Inc.,33.38,1,2.9958,06/07/2019,06/25/2019,
AVGO,Broadcom Inc.,282.66,10.6,3.7501,06/21/2019,07/02/2019,
AVT,Avnet Inc.,44.76,0.8,1.7873,06/04/2019,06/19/2019,
BANF,BancFirst Corporation,56.67,1.2,2.1175,06/27/2019,07/15/2019,
BANR,Banner Corporation,55.28,1.64,2.9667,07/08/2019,07/18/2019,
BANX,StoneCastle Financial Corp,21.65,1.52,7.0208,06/19/2019,06/26/2019,
BBBY,Bed Bath & Beyond Inc.,11.47,0.68,5.9285,06/13/2019,07/16/2019,
BBGI,Beasley Broadcast Group Inc.,3.11,0.2,6.4309,06/27/2019,07/05/2019,
BBSI,Barrett Business Services Inc.,81.63,1,1.225,05/16/2019,05/31/2019,
BCBP,BCB Bancorp Inc. (NJ),13.02,0.56,4.3011,05/09/2019,05/24/2019,
BCTF,Bancorp 34 Inc.,15.7,0.2,1.2739,06/03/2019,06/18/2019,
